,Name,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Survived,Position,latitude,longitude,altitude,country
0,"Abbing, Mr. Anthony",40,"Cincinnati, Ohio",US,Southampton,"Cincinnati, Ohio, US",,False,ThirdClass,39.1014537,-84.5124602,0.0,United States
1,"Abbott, Mrs. Rhoda Mary (née Hunt)",39,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",A,True,ThirdClass,41.8137116,-71.3700545,0.0,United States
2,"Abbott, Mr. Rossmore Edward",16,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",,False,ThirdClass,41.8137116,-71.3700545,0.0,United States
3,"Abbott, Mr. Eugene Joseph",14,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",,False,ThirdClass,41.8137116,-71.3700545,0.0,United States
4,"Abd al-Khaliq, Mr. Farid Qasim Husayn",18,Shana,Lebanon,Cherbourg,New York City,,False,ThirdClass,11.533774,10.9705,0.0,Nigeria
5,"Abelseth, Miss Karen Marie",16,Sunnmøre,Norway,Southampton,"Los Angeles, California, US",16,True,ThirdClass,62.34163785,5.890219084398547,0.0,Norge
6,"Abelseth, Mr. Olaus Jørgensen",25,"Perkins County, South Dakota",US,Southampton,"Perkins County, South Dakota, US",A,True,ThirdClass,45.5288022,-102.5053545,0.0,United States
7,"Abrahamsson, Mr. Abraham August Johannes",20,Dalsbruk,Finland,Southampton,"Hoboken, New Jersey, US",15,True,ThirdClass,60.0209926,22.5067673,0.0,Suomi / Finland
10,"Adams, Mr. John",26,"Bournemouth, Dorset",England,Southampton,"La Porte City, Iowa, US",,False,ThirdClass,50.7269716,-1.9001239,0.0,United Kingdom
12,"Aks, Mrs. Leah (née Rosen)",18,London,England,Southampton,"Norfolk, Virginia, US",13,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
13,"Aks, Master Frank Philip",10 mo.,London,England,Southampton,"Norfolk, Virginia, US",11,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
14,"Al-Muna, Mr. Nasif Qasim",26,"Fredericksburg, Virginia",US,Cherbourg,"Fredericksburg, Virginia, US",15,True,ThirdClass,38.3031837,-77.4605399,0.0,United States
15,"Alexander, Mr. William",23,"Great Yarmouth, Norfolk",England,Southampton,"Albion, Michigan, US",,False,ThirdClass,52.6072426,1.7310768,0.0,United Kingdom
16,"Alhomäki, Mr. Ilmari Rudolf",19,Salo,Finland,Southampton,"Astoria, Oregon, US",,False,ThirdClass,60.3846716,23.1286377,0.0,Suomi / Finland
17,"Ali, Mr. Ahmed",24,Buenos Aires,Argentina,Southampton,New York City,,False,ThirdClass,-34.6075682,-58.4370894,0.0,Argentina
18,"Ali, Mr. William",25,Buenos Aires,Argentina,Southampton,New York City,,False,ThirdClass,-34.6075682,-58.4370894,0.0,Argentina
19,"Allen, Mr. William Henry",35,"Birmingham, West Midlands",England,Southampton,New York City,,False,ThirdClass,52.4796992,-1.9026911,0.0,United Kingdom
20,"Allum, Mr. Owen George",15,"Southall, London",England,Southampton,New York City,,False,ThirdClass,51.5111461,-0.3755169,0.0,United Kingdom
21,"Al-Zainni, Mr. Fahim Ruhanna",22,Toula,Lebanon,Cherbourg,"Dayton, Ohio, US",6,True,ThirdClass,54.1930321,37.61754,0.0,Россия
22,"Andersen, Mr. Albert Karvin",33,Bergen,Norway,Southampton,New York City,,False,ThirdClass,60.3943055,5.3259192,0.0,Norge
23,"Andersen-Jensen, Miss Carla Christine",19,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",16,True,ThirdClass,54.855665450000004,11.881905259818325,0.0,Danmark
24,"Andersson, Mr. Anders Johan",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
25,"Andersson, Mrs. Alfrida Konstantia (née Brogren)",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
26,"Andersson, Miss Sigrid Elisabeth",11,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
27,"Andersson, Miss Ingeborg Constanzia",9,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
28,"Andersson, Miss Ebba Iris Alfrida",6,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
29,"Andersson, Master Sigvard Harald Elias",4,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
30,"Andersson, Miss Ellis Anna Maria",2,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
31,"Andersson, Miss Erna Alexandra",17,Ruotsinpyhtää,Finland,Southampton,New York City,D,True,ThirdClass,60.5220579,26.4695781,0.0,Suomi / Finland
33,"Andersson, Mr. Johan Samuel",26,"Hartford, Connecticut",US,Southampton,"Hartford, Connecticut, US",,False,ThirdClass,41.7655582,-72.69061276146614,0.0,United States
35,"Angheloff, Mr. Minko",26,"Terziysko, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,42.8900425,24.6151436,0.0,Бългaрия
36,"Arnold-Franchi, Mr. Josef",25,"Altdorf, Uri",Switzerland,Southampton,"New Glarus, Wisconsin, US",,False,ThirdClass,46.8820732,8.6413922,0.0,Schweiz/Suisse/Svizzera/Svizra
37,"Arnold-Franchi, Mrs. Josefine (née Franchi)",18,"Altdorf, Uri",Switzerland,Southampton,"New Glarus, Wisconsin, US",,False,ThirdClass,46.8820732,8.6413922,0.0,Schweiz/Suisse/Svizzera/Svizra
39,"Asim, Mr. Adola",35,Buenos Aires,Argentina,Southampton,New York City,,False,ThirdClass,-34.6075682,-58.4370894,0.0,Argentina
47,"Asplund, Mr. Johan Charles",23,"Oskarshamn, Kalmar",Sweden,Southampton,"Minneapolis, Minnesota, US",13,True,ThirdClass,57.2632811,16.4443478,0.0,Sverige
49,"Assam, Mr. Ali",23,Buenos Aires,Argentina,Southampton,New York City,,False,ThirdClass,-34.6075682,-58.4370894,0.0,Argentina
50,"Attala, Mr. Sleiman",30,"Ottawa, Ontario",Canada,Cherbourg,"Ottawa, Ontario, Canada",,False,ThirdClass,45.421106,-75.690308,0.0,Canada
51,"Atta Allah, Miss Malakah",17,Beirut,Lebanon,Cherbourg,New York City,,False,ThirdClass,33.8959203,35.47843,0.0,لبنان
53,"Ayyub Dahir, Miss Bannurah",15,Beirut,Lebanon,Cherbourg,"Owen Sound, Ontario, Canada",C,True,ThirdClass,33.8959203,35.47843,0.0,لبنان
54,"Bakus, Mr. Raful",20,Unknown,Lebanon,Cherbourg,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
55,"Backström, Mr. Karl Alfred",32,Kotka,Finland,Southampton,New York City,,False,ThirdClass,60.4674228,26.9450844,0.0,Suomi / Finland
56,"Backström, Mrs. Maria Mathilda (née Gustafsson)[65][83]",33,Kotka,Finland,Southampton,New York City,D,True,ThirdClass,60.4674228,26.9450844,0.0,Suomi / Finland
57,"Badman, Miss Emily Louisa",18,"Clevedon, North Somerset",England,Southampton,"Skaneateles, New York, US",C,True,ThirdClass,51.4360625,-2.8526531,0.0,United Kingdom
58,"Badt, Mr. Mohamed",40,Tripoli,Lebanon,Cherbourg,New York City,,False,ThirdClass,32.896672,13.1777923,0.0,ليبيا
59,"Bakić, Mr. Kerim",26,Bosanska Krupa,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",,False,ThirdClass,44.8824428,16.1577,0.0,Bosna i Hercegovina / Босна и Херцеговина
60,"Banski, Mrs. Mara (née Osman)",31,Vagovina,Croatia,Southampton,"Steelton, Pennsylvania, US",?,True,ThirdClass,45.7827498,16.6679888,0.0,Hrvatska
67,"Barry, Miss Julia",26,"New York City, New York",US,Queenstown,New York City,,False,ThirdClass,40.7127281,-74.0060152,0.0,United States
68,"Barton, Mr. David John",22,"Cambridge, Cambridgeshire",England,Southampton,New York City,,False,ThirdClass,52.2034823,0.1235817,0.0,United Kingdom
69,"Beavan, Mr. William Thomas",18,"Fillingham, Lincolnshire",England,Southampton,"Russell, US",,False,ThirdClass,53.3608972,-0.5787147,0.0,United Kingdom
70,"Bengtsson, Mr. Johan Viktor",26,"Fridhemsberg, Halland",Sweden,Southampton,"Monee, Illinois, US",,False,ThirdClass,57.1642403,12.7420228,0.0,Sverige
72,"Betros, Mr. Tannous",20,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",,False,ThirdClass,34.3929847,35.8967113,0.0,لبنان
73,"Birkeland, Mr. Hans Martin Monsen",21,Bremnes,Norway,Southampton,New York City,,False,ThirdClass,59.7945188,5.1781334,0.0,Norge
74,"Björklund, Mr. Ernst Herbert",18,Stockholm,Sweden,Southampton,New York City,,False,ThirdClass,59.3251172,18.0710935,0.0,Sverige
75,"Bostandyeff, Mr. Guentcho",26,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
80,"Bradley, Miss Bridget Delia",22,"Kingwilliamstown, Cork",Ireland,Queenstown,"Glen Falls, New York, US",13,True,ThirdClass,52.183388550000004,-9.238338860920043,0.0,Éire / Ireland
82,"Braund, Mr. Lewis Richard",29,"Bridgerule, Devon",England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,False,ThirdClass,50.7993506,-4.4520148,0.0,United Kingdom
83,"Braund, Mr. Owen Harris",22,"Bridgerule, Devon",England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,False,ThirdClass,50.7993506,-4.4520148,0.0,United Kingdom
84,"Brobeck, Mr. Karl Rudolf",22,"Norrköping, Östergötland",Sweden,Southampton,"Worcester, Massachusetts, US",,False,ThirdClass,58.5909124,16.1903511,0.0,Sverige
85,"Brocklebank, Mr. William Alfred",35,"Broomfield, Essex",England,Southampton,New York City,,False,ThirdClass,51.7684223,0.4712666,0.0,United Kingdom
86,"Buckley, Mr. Daniel",21,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,13,True,ThirdClass,52.183388550000004,-9.238338860920043,0.0,Éire / Ireland
87,"Buckley, Miss Catherine",22,"Ovens, Cork",Ireland,Queenstown,"Roxbury, Massachusetts, US",,False,ThirdClass,51.8869169,-8.667948481623021,0.0,Éire / Ireland
88,"Bulus, Mrs. Sultanah (née Rizq)",40,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
89,"Bulus, Master Akar",9,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
90,"Bulus, Miss Nur-al-Ayn",7,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
91,"Burke, Mr. Jeremiah",19,"Glanmire, Cork",Ireland,Queenstown,"Charlestown, US",,False,ThirdClass,51.9196904,-8.3960403,0.0,Éire / Ireland
92,"Burns, Miss Mary Delia",17,"Kilmacowen, Sligo",Ireland,Queenstown,New York City,,False,ThirdClass,54.22787365,-8.517652861692177,0.0,Éire / Ireland
93,"Butrus-Youssef, Mrs. Katarin (née Rizk)",24,Sar'al,Syria[84],Cherbourg,"Detroit, Michigan, US",C,True,ThirdClass,31.3718495,77.2703433,0.0,India
94,"Butrus-Youssef, Master Makhkhul",4,Sar'al,Syria[84],Cherbourg,"Detroit, Michigan, US",D,True,ThirdClass,31.3718495,77.2703433,0.0,India
95,"Butrus-Youssef, Miss Marianna",2,Sar'al,Syria[84],Cherbourg,"Detroit, Michigan, US",C,True,ThirdClass,31.3718495,77.2703433,0.0,India
96,"Čačić, Mr. Jego Grga",18,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6154137,15.4559555,0.0,Hrvatska
97,"Čačić, Mr. Luka",38,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6154137,15.4559555,0.0,Hrvatska
98,"Čačić, Miss Marija",30,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6154137,15.4559555,0.0,Hrvatska
99,"Čačić, Miss Manda",21,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6154137,15.4559555,0.0,Hrvatska
100,"Čalić, Mr. Jovo",17,Brezik,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",,False,ThirdClass,45.8637726,17.407137,0.0,Hrvatska
101,"Čalić, Mr. Petar",17,Brezik,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",,False,ThirdClass,45.8637726,17.407137,0.0,Hrvatska
103,"Canavan, Mr. Patrick ""Peter""",21,"Knockmaria, Mayo",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",,False,ThirdClass,54.0319457,-9.291605726673986,0.0,Éire / Ireland
104,"Cann, Mr. Ernest Charles",21,"Penwithick, Cornwall",England,Southampton,New York City,,False,ThirdClass,50.3732974,-4.7806413,0.0,United Kingdom
108,"Carlsson, Mr. August Sigfrid",24,"Dagsås, Halland",Sweden,Southampton,"Tower, Minnesota, US",,False,ThirdClass,57.0640541,12.4867117,0.0,Sverige
109,"Carr, Miss Jane",47,"Aclare, Sligo",Ireland,Queenstown,"Hartford, Connecticut, US",,False,ThirdClass,54.0364394,-8.8985892,0.0,Éire / Ireland
110,"Carver, Mr. Alfred John",28,"Southampton, Hampshire",England,Southampton,New York City,,False,ThirdClass,42.2307547,-72.7405267,0.0,United States
111,"Celotti, Mr. Francesco",24,Milan,Italy,Southampton,,,False,ThirdClass,45.4668,9.1905,0.0,Italia
112,"Chang, Mr. Chip",32,Hong Kong,China,Southampton,New York City,C,True,ThirdClass,22.2793278,114.1628131,0.0,中国
113,"Charters, Mr. David",28,"Ballinalee, Longford",Ireland,Queenstown,New York City,,False,ThirdClass,53.7755877,-7.6580453,0.0,Éire / Ireland
114,"Cheong, Mr. Foo",32,Hong Kong,China,Southampton,New York City,C,True,ThirdClass,22.2793278,114.1628131,0.0,中国
115,"Christmann, Mr. Emil",29,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
116,"Chronopoulos, Mr. Apostolos",26,"Agios Sostis, Peloponnese",Greece,Cherbourg,New York City,,False,ThirdClass,37.7136112,20.8652663672324,0.0,Ελλάς
117,"Chronopoulos, Mr. Dimitrios",18,"Agios Sostis, Peloponnese",Greece,Cherbourg,New York City,,False,ThirdClass,37.7136112,20.8652663672324,0.0,Ελλάς
118,"Coelho, Mr. Domingos Fernandes",20,"Funchal, Madeira Islands",Portugal,Southampton,New York City,,False,ThirdClass,30.146254149999997,-15.866860663342404,0.0,Portugal
119,"Cohen, Mr. Gershon ""Gus""",18,London,England,Southampton,"Brooklyn, New York, US",12,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
120,"Colbert, Mr. Patrick",24,"Kilkinlea, Limerick",Ireland,Queenstown,"Sherbrooke, Quebec, Canada",,False,ThirdClass,52.3722739,-9.2993655,0.0,Éire / Ireland
121,"Coleff, Mr. Fotio",24,"Debnevo, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,42.96,24.84513,0.0,Бългaрия
123,"Conlon, Mr. Thomas Henry",31,"Philadelphia, Pennsylvania",US,Queenstown,"Philadelphia, Pennsylvania, US",,False,ThirdClass,39.9527237,-75.1635262,0.0,United States
124,"Connaghton, Mr. Michael",31,"Brooklyn, New York",US,Queenstown,"Brooklyn, New York, US",,False,ThirdClass,40.6501038,-73.9495823,0.0,United States
125,"Connolly, Miss Catherine ""Kate""",35,"Bank Place, Tipperary",Ireland,Queenstown,"Dobbs Ferry, New York, US",,False,ThirdClass,52.68477435,-7.898080410303971,0.0,Éire / Ireland
126,"Connolly, Miss Katherine ""Kate""",22,"Cortrasna, Cavan",Ireland,Queenstown,New York City,13,True,ThirdClass,53.8243573,-7.3850715,0.0,Éire / Ireland
127,"Connors, Mr. Patrick John",61,"Charleville, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,52.3546432,-8.6828833,0.0,Éire / Ireland
129,"Čor, Mr. Bartol",35,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,False,ThirdClass,45.1789716,14.7394347,0.0,Hrvatska
130,"Čor, Mr. Ivan",27,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,False,ThirdClass,45.1789716,14.7394347,0.0,Hrvatska
131,"Čor, Mr. Liudevit",19,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,False,ThirdClass,45.1789716,14.7394347,0.0,Hrvatska
132,"Corn, Mr. Henry ""Harry""",30,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
133,"Corr, Miss Helen",16,"Corglass, Longford",Ireland,Queenstown,New York City,16,True,ThirdClass,53.9068135,-7.6805566,0.0,Éire / Ireland
134,"Coutts, Mrs. Mary Winnie (née Trainer)",36,London,England,Southampton,"Brooklyn, New York, US",2,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
135,"Coutts, Master William Loch ""Willie""",9,London,England,Southampton,"Brooklyn, New York, US",2,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
136,"Coutts, Master Neville Leslie",3,London,England,Southampton,"Brooklyn, New York, US",2,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
137,"Coxon, Mr. Daniel",59,London,England,Southampton,"Merrill, Wisconsin, US",,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
138,"Crease, Mr. Ernest James",19,"Bristol, Avon",England,Southampton,"Cleveland, Ohio, US",,False,ThirdClass,51.4027521,-2.3114386,0.0,United Kingdom
139,"Cribb, Mr. John Hatfield",44,"Bournemouth, Dorset",England,Southampton,"Newark, New Jersey, US",,False,ThirdClass,50.7269716,-1.9001239,0.0,United Kingdom
140,"Cribb, Miss Laura Mae",16,"Bournemouth, Dorset",England,Southampton,"Newark, New Jersey, US",12,True,ThirdClass,50.7269716,-1.9001239,0.0,United Kingdom
141,"Čulumović, Mr. Jeso",17,Lipova Glavica,Croatia,Southampton,"Hammond, Indiana, US",,False,ThirdClass,45.3542795,15.5967017,0.0,Hrvatska
142,"Dahir, Mr. Tannous",28,Beirut,Lebanon,Cherbourg,"Youngstown, Ohio, US",,False,ThirdClass,33.8959203,35.47843,0.0,لبنان
143,"Dahl, Mr. Charles Edwart",45,"Adelaide, South Australia",Australia,Southampton,"Fingal, North Dakota, US",15,True,ThirdClass,-34.9281805,138.5999312,0.0,Australia
144,"Dahlberg, Miss Gerda Ulrika",22,Stockholm,Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,59.3251172,18.0710935,0.0,Sverige
145,"Dakić, Mr. Branko",19,Gornji Miholjac,Croatia,Southampton,New York City,,False,ThirdClass,45.7622809,17.6607945,0.0,Hrvatska
146,"Daly, Miss Margaret ""Maggie""",30,"Athlone, Westmeath",Ireland,Queenstown,New York City,15,True,ThirdClass,53.4230832,-7.942705,0.0,Éire / Ireland
147,"Daly, Mr. Eugene Patrick",29,"Athlone, Westmeath",Ireland,Queenstown,New York City,B,True,ThirdClass,53.4230832,-7.942705,0.0,Éire / Ireland
151,"Danoff, Mr. Yoto",27,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
152,"Dantcheff, Mr. Ristju",25,"Terziysko, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,42.8900425,24.6151436,0.0,Бългaрия
154,"Davies, Mr. Alfred John",24,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,False,ThirdClass,52.7214174,-1.7680194,0.0,United Kingdom
155,"Davies, Mr. John Samuel",21,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,False,ThirdClass,52.7214174,-1.7680194,0.0,United Kingdom
156,"Davies, Mr. Joseph",17,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,False,ThirdClass,52.7214174,-1.7680194,0.0,United Kingdom
157,"Davison, Mr. Thomas Henry ""Harry""",32,"Liverpool, Merseyside",England,Southampton,"Bedford, Indiana, US",,False,ThirdClass,53.4013379,-2.9927496,0.0,United Kingdom
158,"Davison, Mrs. Mary Elizabeth",34,"Liverpool, Merseyside",England,Southampson,"Bedford, Indiana, US",16,True,ThirdClass,53.4013379,-2.9927496,0.0,United Kingdom
159,"De Messemaeker, Mr. Guillaume Joseph",36,"Tampico, Montana",US,Southampton,"Tampico, Montana, US",15,True,ThirdClass,48.3047384,-106.8270002,0.0,United States
160,"De Messemaeker, Mrs. Anna (née de Becker)",36,"Tampico, Montana",US,Southampton,"Tampico, Montana, US",13,True,ThirdClass,48.3047384,-106.8270002,0.0,United States
161,"de Mulder, Mr. Theodoor",36,"Aspelare, East Flanders",Belgium,Southampton,"Detroit, Michigan, US",11,True,ThirdClass,50.8421637,3.9584406,0.0,België / Belgique / Belgien
162,"de Pelsmaeker, Mr. Alfons",16,"Heldergem, Haaltert, East Flanders",Belgium,Southampton,"Gladstone, Michigan, US",,False,ThirdClass,50.8816742,3.9548012,0.0,België / Belgique / Belgien
163,"Dean, Mr. Bertram Frank",25,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",,False,ThirdClass,50.9145321,-1.5650331,0.0,United Kingdom
164,"Dean, Mrs. Eva Georgetta (née Light)",32,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,True,ThirdClass,50.9145321,-1.5650331,0.0,United Kingdom
165,"Dean, Master Bertram Vere",1,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,True,ThirdClass,50.9145321,-1.5650331,0.0,United Kingdom
166,"Dean, Miss Elizabeth Gladys ""Millvina""",2 mo.,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,True,ThirdClass,50.9145321,-1.5650331,0.0,United Kingdom
167,"Delalić, Mr. Redjo",25,Bakić,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",,False,ThirdClass,45.7442395,17.6916506,0.0,Hrvatska
168,"Denkoff, Mr. Mitto",30,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
169,"Dennis, Mr. William",26,"Week St Mary, Cornwall",England,Southampton,"Saskatoon, Saskatchewan, Canada",,False,ThirdClass,50.750848,-4.5011168,0.0,United Kingdom
170,"Dennis, Mr. Samuel",22,"Week St Mary, Cornwall",England,Southampton,"Saskatoon, Saskatchewan, Canada",,False,ThirdClass,50.750848,-4.5011168,0.0,United Kingdom
171,"Devaney, Miss Margaret Delia",19,"Kilmacowen, Sligo",Ireland,Queenstown,New York City,C,True,ThirdClass,54.22787365,-8.517652861692177,0.0,Éire / Ireland
172,"Dika, Mr. Mirko",17,Podgora,Croatia,Southampton,"Vancouver, British Columbia, Canada",,False,ThirdClass,43.2433472,17.0750713,0.0,Hrvatska
173,"Dimić, Mr. Jovan",42,Ostrovica,Croatia,Southampton,"Red Lodge, Montana, US",,False,ThirdClass,43.0192664,20.3022811,0.0,Србија
174,"Dintcheff, Mr. Valtcho",43,Unknown,Bulgaria,Southampton,"Tulsa, Oklahoma, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
175,"Donohoe, Miss Bridget",21,"Cum, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,False,ThirdClass,54.036741500000005,-9.322648774799099,0.0,Éire / Ireland
176,"Dooley, Mr. Patrick J.",43,"Patrickswell, Limerick",Ireland,Queenstown,New York City,,False,ThirdClass,52.597222,-8.708889,0.0,Éire / Ireland
177,"Dorking, Mr. Edward Arthur",18,"Liss, Hampshire",England,Southampton,"Oglesby, Illinois, US",B,True,ThirdClass,51.0415389,-0.8994549640083951,0.0,United Kingdom
178,"Doherty, Mr. William John (aka ""James Moran"")",22,Cork,Ireland,Queenstown,New York City,,False,ThirdClass,51.898627,-8.4705942,0.0,Éire / Ireland
179,"Dowdell, Miss Elizabeth",31,"New York City, New York",US,Southampton,New York City,13,True,ThirdClass,40.7127281,-74.0060152,0.0,United States
180,"Doyle, Miss Elizabeth",24,"Bree, Wexford",Ireland,Queenstown,New York City,,False,ThirdClass,52.4349526,-6.6089264,0.0,Éire / Ireland
181,"Draženović, Mr. Jozef",33,Hrastelnica,Croatia,Cherbourg,New York City,,False,ThirdClass,45.5069222,16.419523,0.0,Hrvatska
182,"Dropkin, Miss Jennie",24,Mogilev,Belarus,Southampton,New York City,13,True,ThirdClass,53.7254147,30.3863145,0.0,Беларусь
184,"Dwan, Mr. Frank",65,"Bunmahon, Waterford",Ireland,Queenstown,"Morris Plains, New Jersey, US",,False,ThirdClass,52.1398615,-7.3708525,0.0,Éire / Ireland
185,"Dyker, Mr. Adolf Fredrik",23,"New Haven, Connecticut",US,Southampton,"New Haven, Connecticut, US",,False,ThirdClass,41.298434349999994,-72.93102342707913,0.0,United States
186,"Dyker, Mrs. Anna Elisabeth Judith (née Andersson)",22,"New Haven, Connecticut",US,Southampton,"New Haven, Connecticut, US",16,True,ThirdClass,41.298434349999994,-72.93102342707913,0.0,United States
188,"Eklund, Mr. Hans Linus",16,"Kårberg, Örebro",Sweden,Southampton,"Jerome Junction, Arizona, US",,False,ThirdClass,58.9568817,14.9559243,0.0,Sverige
190,"Elias, Mr. Dibo",29,Unknown,Lebanon,Cherbourg,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
193,"Elsbury, Mr. William James",47,"Taunton, Somerset",England,Southampton,"Gurnee, Illinois, US",,False,ThirdClass,51.0147895,-3.1029086,0.0,United Kingdom
194,"Emanuel, Miss Virginia Ethel",6,"New York City, New York",US,Southampton,New York City,13,True,ThirdClass,40.7127281,-74.0060152,0.0,United States
