,Name,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Survived,Position,latitude,longitude,altitude,country
195,"Estanislau, Mr. Manuel Gonçalves",37,"Calheta, Madeira",Portugal,Southampton,New York City,,False,ThirdClass,32.7219412,-17.1782577,0.0,Portugal
196,"Everett, Mr. Thomas James",39,"Bristol, Avon",England,Southampton,"Troy, New York, US",,False,ThirdClass,51.4027521,-2.3114386,0.0,United Kingdom
197,"Fardon, Mr. Charles R.(alias Charles Franklin)",38,"Wellingborough, Northamptonshire",England,Cherbourg,Canada,,False,ThirdClass,52.30189,-0.6937309,0.0,United Kingdom
198,"Farrell, Mr. James ""Jim""",25,"Killoe, Longford",Ireland,Queenstown,New York City,,False,ThirdClass,53.82048295,-7.729237165768248,0.0,Éire / Ireland
199,"Finoli, Mr. Luigi",34,"Philadelphia, Pennsylvania",US,Southampton,"Philadelphia, Pennsylvania, US",15,True,ThirdClass,39.9527237,-75.1635262,0.0,United States
200,"Fischer, Mr. Eberhard Thelander",18,"Björkeberga, Skåne",Sweden,Southampton,New York City,,False,ThirdClass,56.3522431,13.8884259,0.0,Sverige
202,"Flynn, Mr. James",28,"Cuilkillew, Mayo",Ireland,Queenstown,New York City,,False,ThirdClass,54.019722,-9.278611,0.0,Éire / Ireland
203,"Flynn, Mr. John",42,"Clonbur, Galway",Ireland,Queenstown,"Pittsburgh, Pennsylvania, US",,False,ThirdClass,53.5445942,-9.3636096,0.0,Éire / Ireland
204,"Foley, Mr. Joseph",19,"Broadford, Limerick",Ireland,Queenstown,"Larchmont, New York, US",,False,ThirdClass,52.3463495,-8.9749829,0.0,Éire / Ireland
205,"Foley, Mr. William",20,"Donoughmore, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,51.9890689,-8.7452997,0.0,Éire / Ireland
206,"Ford, Mr. Arthur",22,"Bridgwater, Somerset",England,Southampton,"Elmira, New York, US",,False,ThirdClass,51.1283378,-3.0037046,0.0,United Kingdom
207,"Ford, Mrs. Margaret Ann (née Watson)",48,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,False,ThirdClass,51.0459837,0.2192646,0.0,United Kingdom
208,"Ford, Miss Dollina Margaret",20,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,False,ThirdClass,51.0459837,0.2192646,0.0,United Kingdom
209,"Ford, Mr. Edward Watson",18,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,False,ThirdClass,51.0459837,0.2192646,0.0,United Kingdom
210,"Ford, Mr. William Neal Thomas",16,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,False,ThirdClass,51.0459837,0.2192646,0.0,United Kingdom
211,"Ford, Miss Robina Maggie",7,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,False,ThirdClass,51.0459837,0.2192646,0.0,United Kingdom
212,"Fox, Mr. Patrick",28,"Mullingar, Westmeath",Ireland,Queenstown,New York City,,False,ThirdClass,53.5263035,-7.3415454,0.0,Éire / Ireland
213,"Gallagher, Mr. Martin",29,"Caltra, Galway",Ireland,Queenstown,New York City,,False,ThirdClass,53.4355055,-8.4369796,0.0,Éire / Ireland
214,"Garfirth, Mr. John",21,"Wollaston, Northamptonshire",England,Southampton,"Kitchener, Ontario, Canada",,False,ThirdClass,52.2543819,-0.6710134,0.0,United Kingdom
216,"Gheorgheff, Mr. Stanio",–,Unknown,Bulgaria,Cherbourg,"Butte, Montana, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
217,"Gilinski, Mr. Eliezer",22,"Abercynon, Glamorgan",Wales,Southampton,"Chicago, Illinois, US",,False,ThirdClass,51.6651631,-3.363471,0.0,United Kingdom
218,"Gilnagh, Miss Mary Katherine ""Katie""",17,"Esker, Longford",Ireland,Queenstown,New York City,16,True,ThirdClass,53.7880047,-7.702743601100536,0.0,Éire / Ireland
219,"Glynn, Miss Mary Agatha",19,"Killaloe, Clare",Ireland,Queenstown,"Washington, DC, US",13,True,ThirdClass,52.8067603,-8.4405427,0.0,Éire / Ireland
220,"Goldsmith, Mr. Frank John",33,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",,False,ThirdClass,51.0586069,0.6470163,0.0,United Kingdom
221,"Goldsmith, Mrs. Emily Alice (née Brown)",31,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",C,True,ThirdClass,51.0586069,0.6470163,0.0,United Kingdom
222,"Goldsmith, Master Frank John William",9,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",C,True,ThirdClass,51.0586069,0.6470163,0.0,United Kingdom
223,"Goldsmith, Mr. Nathan",41,Unknown,Russia,Southampton,"Philadelphia, Pennsylvania, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
224,"Goodwin, Mr. Frederick Joseph",42,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
225,"Goodwin, Mrs. Augusta (née Tyler)",43,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
226,"Goodwin, Miss Lillian Amy",16,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
227,"Goodwin, Mr. Charles Edward",14,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
228,"Goodwin, Master William Frederick",13,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
229,"Goodwin, Miss Jessie Allis Mary",12,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
230,"Goodwin, Master Harold Victor",10,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
231,"Goodwin, Master Sidney Leslie",1,Fulham,England,Southampton,"Niagara Falls, New York, US",,False,ThirdClass,51.4744221,-0.2060772,0.0,United Kingdom
232,"Green, Mr. George Henry",40,"Dorking, Surrey",England,Southampton,"Lead, South Dakota, US",,False,ThirdClass,51.2325184,-0.3306724,0.0,United Kingdom
233,"Grønnestad, Mr. Daniel Danielsen",32,Bokn,Norway,Southampton,"Portland, North Dakota, US",,False,ThirdClass,59.19252415,5.475702645238316,0.0,Norge
234,"Guest, Mr. Robert",32,London,England,Southampton,"Clinton, New York, US",,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
235,"Gustafsson, Mr. Alfred Ossian",19,Kokkola,Finland,Southampton,"Waukegan, Illinois, US",,False,ThirdClass,63.8391421,23.1336845,0.0,Suomi / Finland
236,"Gustafsson, Mr. Anders Vilhelm",37,Ruotsinpyhtää,Finland,Southampton,New York City,,False,ThirdClass,60.5220579,26.4695781,0.0,Suomi / Finland
237,"Gustafsson, Mr. Johan Birger",28,Ruotsinpyhtää,Finland,Southampton,New York City,,False,ThirdClass,60.5220579,26.4695781,0.0,Suomi / Finland
239,"Haas, Miss Aloisia",24,"Altdorf, Uri",Switzerland,Southampton,"Chicago, Illinois, US",,False,ThirdClass,46.8820732,8.6413922,0.0,Schweiz/Suisse/Svizzera/Svizra
240,"Hagland, Mr. Ingvald Olai Olsen",28,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,False,ThirdClass,59.419509149999996,5.26340360539375,0.0,Norge
241,"Hagland, Mr. Konrad Mathias Reiersen",19,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,False,ThirdClass,59.419509149999996,5.26340360539375,0.0,Norge
242,"Hakkarainen, Mr Pekka Pietari",28,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",,False,ThirdClass,60.1674881,24.9427473,0.0,Suomi / Finland
243,"Hakkarainen, Mrs. Elin Matilda (née Dolck)",24,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",15,True,ThirdClass,60.1674881,24.9427473,0.0,Suomi / Finland
244,"Hampe, Mr. Léon Jérome",19,Westrozebeke,Belgium,Southampton,"Detroit, Michigan, US",,False,ThirdClass,50.9310188,3.0121528,0.0,België / Belgique / Belgien
245,"Hanna, Mr. Borak Suleiman",27,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",15,True,ThirdClass,34.2351368,35.857964,0.0,لبنان
248,"Hansen, Mr. Claus Peter",41,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",,False,ThirdClass,42.7260523,-87.7825242,0.0,United States
249,"Hansen, Mrs. Jennie Louise (née Howard)",45,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",11,True,ThirdClass,42.7260523,-87.7825242,0.0,United States
251,"Hansen, Mr. Henry Damsgaard",21,Copenhagen,Denmark,Southampton,"Racine, Wisconsin, US",,False,ThirdClass,55.6867243,12.5700724,0.0,Danmark
252,"Hargadon, Miss Catherine ""Kate""",17,"Ballysadare, Sligo",Ireland,Queenstown,New York City,,False,ThirdClass,54.2098884,-8.509265,0.0,Éire / Ireland
253,"Harknett, Miss Alice Phoebe",21,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,False,ThirdClass,51.3988709,-0.099602,0.0,United Kingdom
254,"Hart, Mr. Henry John",27,"Ballysadare, Sligo",Ireland,Queenstown,"Boston, Massachusetts, US",,False,ThirdClass,54.2098884,-8.509265,0.0,Éire / Ireland
255,"Healy, Miss Hanora (Nora)",29,"Athenry, Galway",Ireland,Queenstown,New York City,16,True,ThirdClass,53.2991901,-8.7468297,0.0,Éire / Ireland
256,"Hedman, Mr. Oskar Arvid",27,"St. Paul, Minnesota",US,Southampton,"St. Paul, Minnesota, US",15,True,ThirdClass,44.9504037,-93.1015026,0.0,United States
257,"Hegarty, Miss Hanora",18,"Whitechurch, Cork",Ireland,Queenstown,"Charlestown, US",,False,ThirdClass,51.958525,-8.528147505240696,0.0,Éire / Ireland
258,"Heikkinen, Miss Laina",26,Jyväskylä,Finland,Southampton,New York City,14?,True,ThirdClass,62.2393002,25.745951,0.0,Suomi / Finland
259,"Heininen, Miss Wendla Maria",23,Turku,Finland,Southampton,New York City,,False,ThirdClass,60.4517531,22.2670522,0.0,Suomi / Finland
260,"Hellström, Miss Hilda Maria",22,Stora Tuna,Sweden,Southampton,"Evanston, Illinois, US",C,True,ThirdClass,60.4414762,15.4976055,0.0,Sverige
261,"Hendeković, Mr. Ignjac",28,Vagovina,Croatia,Southampton,"Harrisburg, Pennsylvania, US",,False,ThirdClass,45.7827498,16.6679888,0.0,Hrvatska
262,"Henriksson, Miss Jenny Lovisa",28,Stockholm,Sweden,Southampton,"Iron Mountain, Michigan, US",,False,ThirdClass,59.3251172,18.0710935,0.0,Sverige
263,"Henry, Miss Bridget Delia",23,"Clonown, Roscommon",Ireland,Queenstown,"Boston, Massachusetts, US",,False,ThirdClass,53.4106211,-7.9471947,0.0,Éire / Ireland
264,"Hirvonen, Mrs. Helga Elisabeth (née Lindqvist)",22,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,True,ThirdClass,60.0209926,22.5067673,0.0,Suomi / Finland
265,"Hirvonen, Miss Hildur Elisabeth",2,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,True,ThirdClass,60.0209926,22.5067673,0.0,Suomi / Finland
266,"Holm, Mr. Johan Fredrik Alexander",43,"Karlshamn, Blekinge",Sweden,Southampton,New York City,,False,ThirdClass,56.1701723,14.8631279,0.0,Sverige
267,"Holten, Mr. Johan Martin",28,Bergen,Norway,Southampton,New York City,,False,ThirdClass,60.3943055,5.3259192,0.0,Norge
268,"Honkanen, Miss Eliina",27,Saarijärvi,Finland,Southampton,New York City,?,True,ThirdClass,62.7050975,25.2582688,0.0,Suomi / Finland
269,"Horgan, Mr. John",22,Unknown,Ireland,Queenstown,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
270,"Howard, Miss May Elizabeth",27,"North Walsham, Norfolk",England,Southampton,"Albion, Michigan, US",C,True,ThirdClass,52.8213308,1.3861979,0.0,United Kingdom
271,"Humblen, Mr. Adolf Mathias Nicolai Olsen",42,"Borgund, Møre og Romsdal",Norway,Southampton,"Milwaukee, Wisconsin, US",,False,ThirdClass,62.46627115,6.233920098358294,0.0,Norge
272,"Husayn, Master Husayn Mahumud",11,"Fredericksburg, Virginia",US,Cherbourg,"Fredericksburg, Virginia, US",,False,ThirdClass,38.3031837,-77.4605399,0.0,United States
273,"Hyman, Mr. Solomon Abraham",34,Manchester,England,Southampton,"Springfield, Massachusetts, US",C,True,ThirdClass,53.4794892,-2.2451148,0.0,United Kingdom
274,"Ilmakangas, Miss Ida Livija",27,"New York City, New York",US,Southampton,New York City,,False,ThirdClass,40.7127281,-74.0060152,0.0,United States
275,"Ilmakangas, Miss Pieta Sofia",25,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,False,ThirdClass,64.6063404,25.2042701,0.0,Suomi / Finland
277,"Jabbour, Miss Hileni",16,Unknown,Syria,Cherbourg,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
278,"Jabbour, Miss Tamini",19,Unknown,Syria,Cherbourg,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
279,"Jalševac, Mr. Ivan",29,Topolovac,Croatia,Cherbourg,"Galesburg, Illinois, US",15,True,ThirdClass,45.4594541,16.4371339,0.0,Hrvatska
280,"Jansson, Mr. Carl Olof",21,Örebro,Sweden,Southampton,"Swedeburg, Nebraska, US",A,True,ThirdClass,59.2747287,15.2151181,0.0,Sverige
281,"Jardim, Mr. José Neto",21,"Calheta, Madeira",Portugal,Southampton,New York City,,False,ThirdClass,32.7219412,-17.1782577,0.0,Portugal
282,"Jensen, Mr. Hans Peder",20,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",,False,ThirdClass,54.855665450000004,11.881905259818325,0.0,Danmark
283,"Jensen, Mr. Niels Peder ""Rasmus""",48,"Portland, Oregon",US,Southampton,"Portland, Oregon, US",,False,ThirdClass,45.5202471,-122.6741949,0.0,United States
284,"Jensen, Mr. Svend Lauritz",17,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",,False,ThirdClass,54.855665450000004,11.881905259818325,0.0,Danmark
285,"Jermyn, Miss Annie Jane",26,"Ballydehob, Cork",Ireland,Queenstown,"East Lynn, Massachusetts, US",D,True,ThirdClass,51.5626308,-9.4604371,0.0,Éire / Ireland
286,"Jirjis, Mrs. Shaniini (née Whabee Abi-Saab)",22,"Youngstown, Ohio",US,Cherbourg,"Youngstown, Ohio, US",C,True,ThirdClass,41.1035786,-80.6520161,0.0,United States
287,"Johannesen, Mr. Bernt Johannes",29,"Avaldsnes, Stavanger",Norway,Southampton,New York City,13,True,ThirdClass,58.9631072,5.7430024,0.0,Norge
288,"Johanson, Mr. Jakob Alfred",34,Munsala,Finland,Southampton,"Vancouver, British Columbia, Canada",,False,ThirdClass,63.4529666,22.4347597,0.0,Suomi / Finland
291,"Johansson, Mr. Karl Johan",31,"Duluth, Minnesota",US,Southampton,"Duluth, Minnesota, US",,False,ThirdClass,46.7729322,-92.1251218,0.0,United States
292,"Johansson, Mr. Nils",29,"Chicago, Illinois",US,Southampton,"Chicago, Illinois, US",,False,ThirdClass,41.8755616,-87.6244212,0.0,United States
294,"Johnson, Mr. Alfred",49,Millwood,England,Southampton,New York City,,False,ThirdClass,31.2657632,-82.660419,0.0,United States
295,"Johnson, Mrs. Elisabeth Vilhelmina (née Berg)",26,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,True,ThirdClass,41.9139808,-88.3128183,0.0,United States
296,"Johnson, Master Harold Theodor",4,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,True,ThirdClass,41.9139808,-88.3128183,0.0,United States
297,"Johnson, Miss Eleanor Ileen",1,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,True,ThirdClass,41.9139808,-88.3128183,0.0,United States
298,"Johnson, Mr. Malkolm Joackim",33,"Minneapolis, Minnesota",US,Southampton,"Minneapolis, Minnesota, US",,False,ThirdClass,44.9772995,-93.2654692,0.0,United States
299,"Johnson, Mr. William Cahoone Jr.",19,"Hawthorne, New Jersey",US,Southampton,New York City,,False,ThirdClass,40.9492649,-74.1537549,0.0,United States
300,"Johnston, Mr. Andrew Emslie",35,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,False,ThirdClass,51.3988709,-0.099602,0.0,United Kingdom
301,"Johnston, Mrs. Elizabeth (née Watson) ""Eliza""",34,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,False,ThirdClass,51.3988709,-0.099602,0.0,United Kingdom
302,"Johnston, Master William Andrew",8,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,False,ThirdClass,51.3988709,-0.099602,0.0,United Kingdom
303,"Johnston, Miss Catherine Nellie",7,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,False,ThirdClass,51.3988709,-0.099602,0.0,United Kingdom
306,"Jönsson, Mr. Nils Hilding",27,"Tågarp, Skåne",Sweden,Southampton,New York City,,False,ThirdClass,55.9247727,12.9548931,0.0,Sverige
307,"Jussila, Mr. Eiriik",32,Elimäki,Finland,Southampton,"Monessen, Pennsylvania, US",15,True,ThirdClass,60.7200611,26.4449324,0.0,Suomi / Finland
308,"Jussila, Miss Katriina",20,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,False,ThirdClass,64.6063404,25.2042701,0.0,Suomi / Finland
309,"Jussila, Miss Mari Aina",21,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,False,ThirdClass,64.6063404,25.2042701,0.0,Suomi / Finland
310,"Kallio, Mr. Nikolai Erlantti",17,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,False,ThirdClass,62.431748,22.1841988,0.0,Suomi / Finland
312,"Karajić, Mr. Milan",30,Vagovina,Croatia,Southampton,"Youngstown, Ohio, US",,False,ThirdClass,45.7827498,16.6679888,0.0,Hrvatska
313,"Karlsson, Mr. Einar Gervasius",21,"Oskarshamn, Kalmar",Sweden,Southampton,"Brooklyn, New York, US",13,True,ThirdClass,57.2632811,16.4443478,0.0,Sverige
315,"Karlsson, Mr. Nils August",22,Örebro,Sweden,Southampton,"Palmer, Massachusetts, US",,False,ThirdClass,59.2747287,15.2151181,0.0,Sverige
316,"Karun, Mr. Franz",39,Milje,Slovenia,Southampton,"Galesburg, Illinois, US",15,True,ThirdClass,45.59584785,13.7828563829059,0.0,Italia
317,"Karun, Miss Manca (""Anna"")",4,Milje,Slovenia,Southampton,"Galesburg, Illinois, US",15,True,ThirdClass,45.59584785,13.7828563829059,0.0,Italia
318,"Katavelos, Mr. Vassilios G.",19,Agios Sostis,Greece,Cherbourg,"Milwaukee, Wisconsin, US",,False,ThirdClass,38.31146445,25.955737595340533,0.0,Ελλάς
319,"Keane, Mr. Andrew ""Andy""",23,"Athenry, Galway",Ireland,Queenstown,"Auburndale, Florida, US",,False,ThirdClass,53.2991901,-8.7468297,0.0,Éire / Ireland
320,"Keefe, Mr. Arthur",39,"Rahway, New Jersey",US,Southampton,"Rahway, New Jersey, US",A,True,ThirdClass,40.6081591,-74.2776468,0.0,United States
321,"Kelly, Mr. James",19,Unknown,Ireland,Southampton,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
322,"Kelly, Mr. James",44,"Leixlip, Kildare",Ireland,Queenstown,"New Haven, Connecticut, US",,False,ThirdClass,53.3644766,-6.4897438,0.0,Éire / Ireland
323,"Kelly, Miss Anna Katherine",20,"Cuilmullagh, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",16,True,ThirdClass,53.95803965,-9.332359504279879,0.0,Éire / Ireland
324,"Kelly, Miss Mary",22,"Castlepollard, Westmeath",Ireland,Queenstown,New York City,D,True,ThirdClass,53.6796939,-7.2981856,0.0,Éire / Ireland
325,"Kennedy, Mr. John Joseph",24,"Watergate, Limerick",Ireland,Queenstown,New York City,15?,True,ThirdClass,43.6591858,-70.785551,0.0,United States
326,"Khalil-Khoury, Mr. Butrus",25,Hardîne,Lebanon,Cherbourg,"Wilkes Barre, Pennsylvania, US",,False,ThirdClass,34.2351368,35.857964,0.0,لبنان
327,"Khalil-Khoury, Mrs. Zahie ""Maria""",20,Hardîne,Lebanon,Cherbourg,"Wilkes Barre, Pennsylvania, US",,False,ThirdClass,34.2351368,35.857964,0.0,لبنان
328,"Kiernan, Mr. John Joseph",24,"Jersey City, New Jersey",US,Queenstown,"Jersey City, New Jersey, US",,False,ThirdClass,40.7281575,-74.0776417,0.0,United States
329,"Kiernan, Mr. Philip",22,"Aughnacliffe, Longford",Ireland,Queenstown,"Jersey City, New Jersey, US",,False,ThirdClass,53.850985,-7.6040301,0.0,Éire / Ireland
330,"Kilgannon, Mr. Thomas",22,"Currafarry, Galway",Ireland,Queenstown,New York City,,False,ThirdClass,53.466661849999994,-8.381393191381274,0.0,Éire / Ireland
331,"Kink, Mr. Anton",29,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,True,ThirdClass,47.3744489,8.5410422,0.0,Schweiz/Suisse/Svizzera/Svizra
332,"Kink, Mrs. Luise (née Heilmann)",26,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,True,ThirdClass,47.3744489,8.5410422,0.0,Schweiz/Suisse/Svizzera/Svizra
333,"Kink, Miss Luise Gretchen",4,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,True,ThirdClass,47.3744489,8.5410422,0.0,Schweiz/Suisse/Svizzera/Svizra
334,"Kink, Miss Maria",22,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin, US",,False,ThirdClass,47.3744489,8.5410422,0.0,Schweiz/Suisse/Svizzera/Svizra
335,"Kink, Mr. Vincenz",26,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin, US",,False,ThirdClass,47.3744489,8.5410422,0.0,Schweiz/Suisse/Svizzera/Svizra
339,"Kraeff, Mr. Theodor",–,Vetren,Bulgaria,Cherbourg,"Madison, Wisconsin, US",,False,ThirdClass,42.28236,24.04463,0.0,Бългaрия
340,"Krekorian, Mr. Neshan",25,Kiğı,Turkey,Cherbourg,"Brantford, Ontario, Canada",10,True,ThirdClass,39.2762597,40.27099417716855,0.0,Türkiye
341,"Kutscher, Mr. Simon",26,Edinburgh,Scotland,Southampton,New York City,,False,ThirdClass,55.9533456,-3.1883749,0.0,United Kingdom
342,"Lahoud Ishaq Mowad, Mr. Sarkis",30,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",,False,ThirdClass,34.3929847,35.8967113,0.0,لبنان
343,"Laitinen, Miss Kristiina Sofia",37,Helsinki,Finland,Southampton,New York City,,False,ThirdClass,60.1674881,24.9427473,0.0,Suomi / Finland
345,"Lam, Mr. Ali",37,Hong Kong,China,Southampton,New York City,C,True,ThirdClass,22.2793278,114.1628131,0.0,中国
346,"Lam, Mr. Len",23,Hong Kong,China,Southampton,New York City,,False,ThirdClass,22.2793278,114.1628131,0.0,中国
347,"Landergren, Miss Aurora Adelia",22,"Karlshamn, Blekinge",Sweden,Southampton,New York City,13,True,ThirdClass,56.1701723,14.8631279,0.0,Sverige
348,"Lane, Mr. Patrick",16,"Limerick, Limerick",Ireland,Queenstown,New York City,,False,ThirdClass,52.661252,-8.6301239,0.0,Éire / Ireland
349,"Lang, Mr. Fang",26,Hong Kong,China,Southampton,New York City,14,True,ThirdClass,22.2793278,114.1628131,0.0,中国
350,"Larsson, Mr. August Viktor",29,"Stamford, Connecticut",US,Southampton,"Stamford, Connecticut, US",,False,ThirdClass,41.072089,-73.54443614832871,0.0,United States
351,"Larsson, Mr. Bengt Edvin",29,"Nyköping, Södermanland",Sweden,Southampton,"Hartford, Connecticut, US",,False,ThirdClass,58.7545409,17.0120656,0.0,Sverige
352,"Larsson-Rondberg, Mr. Edvard A.",22,"Lysvik, Värmland",Sweden,Southampton,"Missoula, Montana, US",,False,ThirdClass,60.0152729,13.132996,0.0,Sverige
353,"Lee, Mr. Bing",32,Hong Kong,China,Southampton,New York City,C,True,ThirdClass,22.2793278,114.1628131,0.0,中国
354,"Lee, Mr. Ling",28,Hong Kong,China,Southampton,New York City,,False,ThirdClass,22.2793278,114.1628131,0.0,中国
355,"Lefebvre, Mrs. Frances Marie-Anselme (née Daumont)",40,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,False,ThirdClass,50.4245,2.7738,0.0,France
356,"Lefebvre, Miss Mathilde Franck-Marie-Joseph",12,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,False,ThirdClass,50.4245,2.7738,0.0,France
357,"Lefebvre, Miss Jeannie Franck-Marie-Joseph",8,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,False,ThirdClass,50.4245,2.7738,0.0,France
358,"Lefebvre, Master Henri Franck-Marie-Joseph",5,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,False,ThirdClass,50.4245,2.7738,0.0,France
359,"Lefebvre, Miss Ida Franck-Marie-Joseph",3,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,False,ThirdClass,50.4245,2.7738,0.0,France
360,"Leinonen, Mr. Antti Gustaf",32,Välitaipale,Finland,Southampton,New York City,,False,ThirdClass,65.1193481,25.3364119,0.0,Suomi / Finland
361,"Lennon, Mr. Denis",20,"Ballymahon, Longford",Ireland,Queenstown,New York City,,False,ThirdClass,53.5617282,-7.7617266,0.0,Éire / Ireland
362,"Lennon, Miss Mary",18,"Ballymahon, Longford",Ireland,Queenstown,New York City,,False,ThirdClass,53.5617282,-7.7617266,0.0,Éire / Ireland
363,"Leonard, Mr. Lionel",36,"New York City, New York",US,Southampton,New York City,,False,ThirdClass,40.7127281,-74.0060152,0.0,United States
364,"Lester, Mr. James",39,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,False,ThirdClass,52.7214174,-1.7680194,0.0,United Kingdom
