,Name,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Survived,Position,latitude,longitude,altitude,country
365,"Lievens, Mr. René Gustave Aimé",24,Haaltert,Belgium,Southampton,"Detroit, Michigan, US",,False,ThirdClass,50.887393349999996,3.9904300285117014,0.0,België / Belgique / Belgien
366,"Lindahl, Miss Agda Thorilda Viktoria",25,Stockholm,Sweden,Southampton,"Saranac Lake, New York, US",,False,ThirdClass,59.3251172,18.0710935,0.0,Sverige
367,"Lindblom, Miss Augusta Charlotta",45,Stockholm,Sweden,Southampton,"Stratford, Connecticut, US",,False,ThirdClass,59.3251172,18.0710935,0.0,Sverige
368,"Lindell, Mr. Edvard Bengtsson",36,"Helsingborg, Skåne",Sweden,Southampton,"Hartford, Connecticut, US",A,True,ThirdClass,56.0441984,12.7040684,0.0,Sverige
369,"Lindell, Mrs. Elin Gerda (née Persson)",30,"Helsingborg, Skåne",Sweden,Southampton,"Hartford, Connecticut, US",A,True,ThirdClass,56.0441984,12.7040684,0.0,Sverige
370,"Lindqvist, Mr. Eino William",20,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,True,ThirdClass,60.0209926,22.5067673,0.0,Suomi / Finland
371,"Linehan, Mr. Michael",21,"Boherbue, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,52.15816785,-9.072094847439335,0.0,Éire / Ireland
372,"Ling, Mr. Lee",24,Hong Kong,China,Southampton,New York City,,False,ThirdClass,22.2793278,114.1628131,0.0,中国
373,"Linhart, Mr. Wenzel H.",27,Vienna,Austria,Southampton,New York City,,False,ThirdClass,48.2083537,16.3725042,0.0,Österreich
374,"Livshin, Mr. David (""Abraham Harmer"")",25,Manchester,England,Southampton,"Montreal, Quebec, Canada",,False,ThirdClass,53.4794892,-2.2451148,0.0,United Kingdom
375,"Lobb, Mr. William Arthur",30,"Scranton, Pennsylvania",US,Southampton,"Scranton, Pennsylvania, US",,False,ThirdClass,41.4086874,-75.6621294,0.0,United States
376,"Lobb, Mrs. Cordelia K. (née Stanlick)",26,"Scranton, Pennsylvania",US,Southampton,"Scranton, Pennsylvania, US",,False,ThirdClass,41.4086874,-75.6621294,0.0,United States
377,"Lockyer, Mr. Edward Thomas",21,"Sandhurst, Kent",England,Southampton,"Ontario, New York, US",,False,ThirdClass,51.0264861,0.5627378,0.0,United Kingdom
378,"Lovell, Mr. John Hall (""Henry"")",20,"Northlew, Devon",England,Southampton,New York City,,False,ThirdClass,50.7724148,-4.1229676,0.0,United Kingdom
379,"Lulić, Mr. Nikola",29,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",15,True,ThirdClass,44.6673519,15.4044628,0.0,Hrvatska
381,"Lundström, Mr. Thure Edvin",32,"Simrishamn, Skåne",Sweden,Southampton,"Los Angeles, US",15,True,ThirdClass,55.566667,14.3,0.0,Sverige
382,"Lymperopoulus, Mr. Panagiotis K.",30,Áyios Sóstis,Greece,Cherbourg,"Stamford, Connecticut US",,False,ThirdClass,37.9555609,23.71594125265149,0.0,Ελλάς
383,"Lyntakoff, Mr. Stanko",44,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
384,"Mackay, Mr. George William",20,London,England,Southampton,"Rochester, New York, US",,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
385,"Madigan, Miss Margaret ""Maggie""",21,"Askeaton, Limerick",Ireland,Queenstown,New York City,15,True,ThirdClass,52.599722,-8.975556,0.0,Éire / Ireland
386,"Madsen, Mr. Fridtjof Arne",24,Trondheim,Norway,Southampton,"Brooklyn, New York, US",13,True,ThirdClass,63.4305658,10.3951929,0.0,Norge
387,"Mäenpää, Mr. Matti Alexanteri",22,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,False,ThirdClass,62.431748,22.1841988,0.0,Suomi / Finland
388,"Mahon, Miss Bridget Delia",20,"Derrymartin, Mayo",Ireland,Queenstown,New York City,,False,ThirdClass,53.992962399999996,-9.371164048650234,0.0,Éire / Ireland
389,"Maisner, Mr. Simon",34,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
390,"Mäkinen, Mr. Kalle Edvard",29,"Ikaalinen, Pirkanmaa",Finland,Southampton,"Glassport, Pennsylvania, US",,False,ThirdClass,61.7701493,23.0633777,0.0,Suomi / Finland
391,"Mamee, Mr. Hanna",20,Tripoli,Lebanon,Cherbourg,"Philadelphia, Pennsylvania, US",15,True,ThirdClass,32.896672,13.1777923,0.0,ليبيا
393,"Mannion, Miss Margaret",28,"Caltra, Galway",Ireland,Queenstown,New York City,16,True,ThirdClass,53.4355055,-8.4369796,0.0,Éire / Ireland
394,"Mardirosian, Mr. Sarkis",25,Kiğı,Turkey,Cherbourg,"Brantford, Ontario, Canada",,False,ThirdClass,39.2762597,40.27099417716855,0.0,Türkiye
395,"Marinko, Mr. Dmitri",23,Unknown,Macedonia,Southampton,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
397,"Markun, Mr. Johann",33,Milje,Slovenia,Cherbourg,New York City,,False,ThirdClass,45.59584785,13.7828563829059,0.0,Italia
398,"Matinoff, Mr. Nicola",30,Gabrovo,Bulgaria,Cherbourg,"Madison, Wisconsin, US",,False,ThirdClass,42.96597,25.21308065823368,0.0,Бългaрия
399,"McCarthy, Miss Catherine ""Katie""",24,Tipperary,Ireland,Queenstown,"Bayonne, New Jersey, US",?,True,ThirdClass,52.68477435,-7.898080410303971,0.0,Éire / Ireland
400,"McCormack, Mr. Thomas Joseph",19,"Bayonne, New Jersey",US,Queenstown,"Guttenberg, New Jersey, US",15,True,ThirdClass,40.6687141,-74.1143091,0.0,United States
401,"McCoy, Miss Catherine Agnes",29,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,True,ThirdClass,54.9025908,-7.3157645,0.0,United Kingdom
402,"McCoy, Miss Alice",26,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,True,ThirdClass,54.9025908,-7.3157645,0.0,United Kingdom
403,"McCoy, Mr. Bernard",24,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,True,ThirdClass,54.9025908,-7.3157645,0.0,United Kingdom
404,"McDermott, Miss Bridget Delia",31,"Lahardane, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",13,True,ThirdClass,54.0282478,-9.3216581,0.0,Éire / Ireland
405,"McEvoy, Mr. Michael",19,Dublin,Ireland,Queenstown,New York City,,False,ThirdClass,53.3497645,-6.2602732,0.0,Éire / Ireland
406,"McGovern, Miss Mary",22,"Corlough, Cavan",Ireland,Queenstown,New York City,13,True,ThirdClass,54.1263352,-7.7727603,0.0,Éire / Ireland
407,"McGowan, Miss Anna F. ""Annie""",14,"Massbrook, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",13,True,ThirdClass,53.986667,-9.284167,0.0,Éire / Ireland
408,"McGowan, Miss Catherine",42,"Terry, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,False,ThirdClass,-8.9569721,-76.0993376,0.0,Perú
410,"McNamee, Mr. Neal",27,"Convoy, Donegal, Ireland",England,Southampton,"Philadelphia, Pennsylvania, US",,False,ThirdClass,54.8602564,-7.664132,0.0,Éire / Ireland
411,"McNamee, Mrs. Eileen (née O'Leary)",19,"Salisbury, Wiltshire",England,Southampton,"Philadelphia, Pennsylvania, US",,False,ThirdClass,51.0690613,-1.7954134,0.0,United Kingdom
412,"McNeill, Miss Bridget",27,"Trien, Roscommon",Ireland,Queenstown,New York City,,False,ThirdClass,53.729438349999995,-8.555108838348016,0.0,Éire / Ireland
413,"Meanwell, Mrs. Mary Ann",63,"Eastbourne, East Sussex",England,Southampton,New York City,,False,ThirdClass,50.7685761,0.2957854,0.0,United Kingdom
415,"Meek, Mrs. Anna ""Annie"" Louise Rowley",31,"Penarth, Glamorgan",Wales,Southampton,New York City,,False,ThirdClass,51.435968,-3.1733023,0.0,United Kingdom
416,"Miesnere, Mr. Simon",34,"London, England",England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
417,"Meo-Martino, Mr. Alfonzo",48,"Bournemouth, Dorset",England,Southampton,"Washington, DC, US",,False,ThirdClass,50.7269716,-1.9001239,0.0,United Kingdom
418,"Mernagh, Mr. John Robert",26,"Ballywilliam, Wexford",Ireland,Queenstown,"Chicago, Illinois, US",,False,ThirdClass,52.4479192,-6.8647066,0.0,Éire / Ireland
419,"Midtsjø, Mr. Karl Albert",21,"Kråkstad, Ski",Norway,Southampton,"Chicago, Illinois, US",15,True,ThirdClass,59.7099144,10.8415645,0.0,Norge
421,"Miles, Mr. Frank",23,"Greenwich, London",England,Southampton,New York City,,False,ThirdClass,51.4820845,-0.0045417,0.0,United Kingdom
422,"Mineff, Mr. Ivan",24,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
424,"Mitkoff, Mr. Mito",23,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
425,"Mockler, Miss Ellen Mary",23,"Currafarry, Galway",Ireland,Queenstown,New York City,16,True,ThirdClass,53.466661849999994,-8.381393191381274,0.0,Éire / Ireland
426,"Moen, Mr. Sigurd Hansen",25,Bergen,Norway,Southampton,"Minneapolis, Minnesota, US",,False,ThirdClass,60.3943055,5.3259192,0.0,Norge
427,"Moor, Mrs. Beila",29,Unknown,Russia,Southampton,"Chicago, Illinois, US",14,True,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
428,"Moor, Master Meier",7,Unknown,Russia,Southampton,"Chicago, Illinois, US",14,True,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
429,"Moore, Mr. Leonard Charles",19,"Kingston upon Thames, London",England,Southampton,"Hoboken, New Jersey, US",,False,ThirdClass,51.4096275,-0.3062621,0.0,United Kingdom
430,"Moran, Miss Bertha Bridget",28,"Askeaton, Limerick",Ireland,Queenstown,"Brooklyn, New York, US",16,True,ThirdClass,52.599722,-8.975556,0.0,Éire / Ireland
431,"Moran, Mr. Daniel James",27,"Askeaton, Limerick",Ireland,Queenstown,"Brooklyn, New York, US",,False,ThirdClass,52.599722,-8.975556,0.0,Éire / Ireland
432,"Morley, Mr. William",34,"Petworth, West Sussex",England,Southampton,New York City,,False,ThirdClass,50.9862857,-0.6101088,0.0,United Kingdom
433,"Morrow, Mr. Thomas Rowan",30,"Rathfriland, Down",Ireland,Queenstown,"Gleichen, Alberta, Canada",,False,ThirdClass,54.2381785,-6.1603136,0.0,United Kingdom
434,"Moss, Mr. Albert Johan",29,Bergen,Norway,Southampton,New York City,B,True,ThirdClass,60.3943055,5.3259192,0.0,Norge
435,"Moussa, Mrs. Mantoura",35,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",?,True,ThirdClass,34.2351368,35.857964,0.0,لبنان
436,"Moutal, Mr. Rahamin Haim",28,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
437,"Mubarik, Mrs. Amanah Fa'ud (née Iskandar)",24,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,True,ThirdClass,34.2351368,35.857964,0.0,لبنان
438,"Mubarik, Master Gerios",7,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,True,ThirdClass,34.2351368,35.857964,0.0,لبنان
439,"Mubarik, Master Halim Gonios",4,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,True,ThirdClass,34.2351368,35.857964,0.0,لبنان
440,"Mullen, Miss Katherine ""Katie""",19,"Esker, Longford",Ireland,Queenstown,New York City,16,True,ThirdClass,53.7880047,-7.702743601100536,0.0,Éire / Ireland
441,"Mulvihill, Miss Bridget Elizabeth ""Bertha""",25,"Athlone, Westmeath",Ireland,Queenstown,"Providence, Rhode Island, US",15,True,ThirdClass,53.4230832,-7.942705,0.0,Éire / Ireland
442,"Murdlin, Mr. Joseph",22,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
444,"Murphy, Miss Margaret Jane ""Maggie/Mary""",25,"Fostragh, Longford",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",16,True,ThirdClass,53.8481325,-7.6359516,0.0,Éire / Ireland
445,"Murphy, Miss Nora",34,Dublin,Ireland,Queenstown,New York City,16,True,ThirdClass,53.3497645,-6.2602732,0.0,Éire / Ireland
446,"Muslamani, Mrs. Fatimah",22,Tebnine,Lebanon,Cherbourg,"Michigan City, Indiana, US",C,True,ThirdClass,33.1932575,35.4117998,0.0,لبنان
447,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",18,"Kristinehamn, Värmland",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,59.3113619,14.11176,0.0,Sverige
448,"Nackid, Mr. Sahid",20,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,True,ThirdClass,34.3929847,35.8967113,0.0,لبنان
449,"Nackid, Miss Waika ""Mary"" (née Mowad)",19,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,True,ThirdClass,34.3929847,35.8967113,0.0,لبنان
450,"Nackid, Miss Maria",1,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,True,ThirdClass,34.3929847,35.8967113,0.0,لبنان
452,"Nakli-Khoury, Mr. Toufik",17,Hardîne,Lebanon,Cherbourg,New York City,,False,ThirdClass,34.2351368,35.857964,0.0,لبنان
453,"Nancarrow, Mr. William Henry",33,"St Austell, Cornwall",England,Southampton,"Yonkers, New York, US",,False,ThirdClass,50.338466,-4.7882104,0.0,United Kingdom
454,"Nankoff, Mr. Minko",32,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
455,"Nasr Alma, Mr. Mustafa",20,Tebnine,Lebanon,Cherbourg,New York City,,False,ThirdClass,33.1932575,35.4117998,0.0,لبنان
456,"Nassr Rizq, Mr. Saade",20,Sir'Al,Lebanon,Cherbourg,New York City,,False,ThirdClass,29.6199434,79.2298955,0.0,India
457,"Naughton, Miss Hannah",21,Donoughmore,Ireland,Queenstown,New York City,,False,ThirdClass,51.9890689,-8.7452997,0.0,Éire / Ireland
458,"Nenkoff, Mr. Christo",22,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
459,"Nieminen, Miss Manta Josefiina",29,Karinainen,Finland,Southampton,"Aberdeen, Washington, US",,False,ThirdClass,60.6779568,22.7681203,0.0,Suomi / Finland
460,"Niklasson, Mr. Samuel",28,"Västra Bogane, Orust Island",Sweden,Southampton,New York City,,False,ThirdClass,58.2189959,11.7862159,0.0,Sverige
461,"Nilsson, Mr. August Ferdinand",21,"Hörby, Skåne",Sweden,Southampton,"St. Paul, Minnesota, US",,False,ThirdClass,55.8504666,13.6486019,0.0,Sverige
462,"Nilsson, Miss Berta Olivia",18,"Lysvik, Värmland",Sweden,Southampton,"Missoula, Montana, US",D,True,ThirdClass,60.0152729,13.132996,0.0,Sverige
464,"Niqula-Yarid, Miss Jamilah",14,El-Hakour,Lebanon,Cherbourg,"Jacksonville, Florida, US",C,True,ThirdClass,35.7669202,36.1597385,0.0,سوريا
465,"Niqula-Yarid, Master Ilyas",12,El-Hakour,Lebanon,Cherbourg,"Jacksonville, Florida, US",C,True,ThirdClass,35.7669202,36.1597385,0.0,سوريا
466,"Nirva, Mr. Iisakki Antino Äijö",41,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,False,ThirdClass,62.431748,22.1841988,0.0,Suomi / Finland
467,"Niskanen, Mr. Juha",39,Kivijärvi,Finland,Southampton,"Boston, Massachusetts, US",9,True,ThirdClass,63.1223025,25.0725469,0.0,Suomi / Finland
469,"Nosworthy, Mr. Richard Cater",21,"Newton Abbot, Devon",England,Southampton,"Buffalo, New York, US",,False,ThirdClass,50.5301513,-3.5992265,0.0,United Kingdom
470,"Nysten, Miss Anna Sofia",22,"Kisa, Östergötland",Sweden,Southampton,"Hackensack, New Jersey, US",13,True,ThirdClass,57.9875021,15.622841,0.0,Sverige
471,"Nysveen, Mr. Johan Hansen",61,Øyer,Norway,Southampton,"Grand Forks, North Dakota, US",,False,ThirdClass,61.3273517,10.504001742069814,0.0,Norge
472,"O'Brien, Mr. Thomas",27,"Pallasgreen, Limerick",Ireland,Queenstown,"Chicago, Illinois, US",,False,ThirdClass,52.5685257,-8.3372169,0.0,Éire / Ireland
473,"O'Brien, Mrs. Johanna ""Hannah"" (née Godfrey)",26,"Pallasgreen,  Limerick",Ireland,Queenstown,"Chicago, Illinois, US",?,True,ThirdClass,52.5685257,-8.3372169,0.0,Éire / Ireland
474,"O'Brien, Mr. Timothy",21,"Drimoleague, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,51.6608411,-9.2599584,0.0,Éire / Ireland
475,"O'Connell, Mr. Patrick Denis",17,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,52.183388550000004,-9.238338860920043,0.0,Éire / Ireland
476,"O'Connor, Mr. Maurice",16,"Boherbue, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,52.15816785,-9.072094847439335,0.0,Éire / Ireland
477,"O'Connor, Mr. Patrick",23,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,,False,ThirdClass,52.183388550000004,-9.238338860920043,0.0,Éire / Ireland
478,"O'Driscoll, Miss Bridget",24,"Ballydehob, Cork",Ireland,Queenstown,"Jersey City, New Jersey, US",D,True,ThirdClass,51.5626308,-9.4604371,0.0,Éire / Ireland
479,"O'Dwyer, Miss Ellen ""Nellie""",25,"Limerick, Limerick",Ireland,Queenstown,New York City,?,True,ThirdClass,52.661252,-8.6301239,0.0,Éire / Ireland
480,"O'Keefe, Mr. Patrick",22,"Waterford, Waterford",Ireland,Queenstown,New York City,B,True,ThirdClass,52.2609997,-7.1119081,0.0,Éire / Ireland
481,"O'Leary, Miss Hanora ""Nora""",16,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,13,True,ThirdClass,52.183388550000004,-9.238338860920043,0.0,Éire / Ireland
482,"O'Sullivan, Miss Bridget Mary",21,"Glenduff, Kerry",Ireland,Queenstown,New York City,,False,ThirdClass,52.2926158,-9.6061466,0.0,Éire / Ireland
483,"Ödahl, Mr. Nils Martin",23,"Örsjö, Kalmar",Sweden,Southampton,"Peoria, Illinois, US",,False,ThirdClass,56.7008028,15.7480275,0.0,Sverige
485,"Olsen, Mr. Henry Margido",28,Bergen,Norway,Southampton,New York City,,False,ThirdClass,60.3943055,5.3259192,0.0,Norge
486,"Olsen, Mr. Karl Siegwart Andreas",42,Trondheim,Norway,Southampton,"Brooklyn, New York, US",,False,ThirdClass,63.4305658,10.3951929,0.0,Norge
487,"Olsen, Master Arthur Carl",9,Trondheim,Norway,Southampton,"Brooklyn, New York, US",13,True,ThirdClass,63.4305658,10.3951929,0.0,Norge
488,"Olsen, Mr. Ole Martin",27,Sunnhordland,Norway,Southampton,"Broderick, Canada",,False,ThirdClass,59.833821,5.7123861,0.0,Norge
489,"Olsson, Miss Elina",31,Södra Brantevik,Sweden,Southampton,"St. Paul, Minnesota, US",,False,ThirdClass,55.5151992,14.345963,0.0,Sverige
490,"Olsson, Mr. Nils Johan Göransson",28,"Eslöv, Skåne",Sweden,Southampton,New York City,,False,ThirdClass,55.85,13.316667,0.0,Sverige
491,"Olsson, Mr. Oskar Wilhelm",32,"Lunna, Orust Island",Sweden,Southampton,"Manitowoc, Wisconsin, US",A,True,ThirdClass,58.2441588,11.8025517,0.0,Sverige
492,"Olsvingen, Mr. Thor Andersen",20,Vikersund,Norway,Southampton,"Carneron, US",,False,ThirdClass,59.969149,9.9982696,0.0,Norge
493,"Orešković, Miss Jelka",23,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6673519,15.4044628,0.0,Hrvatska
494,"Orešković, Mr. Luka",20,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6673519,15.4044628,0.0,Hrvatska
495,"Orešković, Miss Marija",20,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,44.6673519,15.4044628,0.0,Hrvatska
496,"Osén, Mr. Olaf Elon",16,"Hedesunda, Gävleborg",Sweden,Southampton,"Mitchell, South Dakota, US",,False,ThirdClass,60.3940251,17.006446,0.0,Sverige
497,"Pålsson, Mrs. Alma Cornelia (née Berglund)",29,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,56.0856449,12.9139805,0.0,Sverige
498,"Pålsson, Miss Torborg Danira",8,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,56.0856449,12.9139805,0.0,Sverige
499,"Pålsson, Master Paul Folke",6,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,56.0856449,12.9139805,0.0,Sverige
500,"Pålsson, Miss Stina Viola",3,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,56.0856449,12.9139805,0.0,Sverige
501,"Pålsson, Master Gösta Leonard",2,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,56.0856449,12.9139805,0.0,Sverige
502,"Panula, Mrs. Maija Emelia Abrahamintytar (née Ketola-Ojala)",41,"Ylihärmä, South Ostrobothnia",Finland,Southampton,"Coal Center, Pennsylvania, US",,False,ThirdClass,63.1441197,22.7956213,0.0,Suomi / Finland
503,"Panula, Mr. Ernesti Arvid",16,"Ylihärmä, South Ostrobothnia",Finland,Southampton,"Coal Center, Pennsylvania, US",,False,ThirdClass,63.1441197,22.7956213,0.0,Suomi / Finland
504,"Panula, Mr. Jaakko Arnold",15,"Ylihärmä, South Ostrobothnia",Finland,Southampton,"Coal Center, Pennsylvania, US",,False,ThirdClass,63.1441197,22.7956213,0.0,Suomi / Finland
505,"Panula, Master Juha Niilo",7,"Ylihärmä, South Ostrobothnia",Finland,Southampton,"Coal Center, Pennsylvania, US",,False,ThirdClass,63.1441197,22.7956213,0.0,Suomi / Finland
506,"Panula, Master Urho Abraham",2,"Ylihärmä, South Ostrobothnia",Finland,Southampton,"Coal Center, Pennsylvania, US",,False,ThirdClass,63.1441197,22.7956213,0.0,Suomi / Finland
507,"Panula, Master Eino Viljami",1,"Ylihärmä, South Ostrobothnia",Finland,Southampton,"Coal Center, Pennsylvania, US",,False,ThirdClass,63.1441197,22.7956213,0.0,Suomi / Finland
509,"Patchett, Mr. George",19,"Wollaston, Northamptonshire",England,Southampton,"Kitchener, Ontario, Canada",,False,ThirdClass,52.2543819,-0.6710134,0.0,United Kingdom
510,"Pavlović, Mr. Štefo",32,Vagovina,Croatia,Southampton,"Harrisburg, Pennsylvania, US",,False,ThirdClass,45.7827498,16.6679888,0.0,Hrvatska
511,"Peacock, Mrs. Edith (née Nile)",26,"Southampton, Hampshire",England,Southampton,"Elizabeth, New Jersey, US",,False,ThirdClass,42.2307547,-72.7405267,0.0,United States
512,"Peacock, Miss Treasteall",4,"Southampton, Hampshire",England,Southampton,"Elizabeth, New Jersey, US",,False,ThirdClass,42.2307547,-72.7405267,0.0,United States
513,"Peacock, Master Albert Edward",7 mo.,"Southampton, Hampshire",England,Southampton,"Elizabeth, New Jersey, US",,False,ThirdClass,42.2307547,-72.7405267,0.0,United States
514,"Pearce, Mr. Ernest",32,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
515,"Pedersen, Mr. Olaf",28,Sandefjord,Norway,Southampton,"Seattle, Washington, US",,False,ThirdClass,59.1300112,10.2255602,0.0,Norge
516,"Peduzzi, Mr. Giuseppe",24,London,England,Southampton,New York City,,False,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
517,"Pekoniemi, Mr. Edvard Johannes",21,Heinola,Finland,Southampton,New York City,,False,ThirdClass,61.2027188,26.031371,0.0,Suomi / Finland
518,"Peltomäki, Mr. Nikolai Johannes",25,Helsinki,Finland,Southampton,New York City,,False,ThirdClass,60.1674881,24.9427473,0.0,Suomi / Finland
519,"Perkin, Mr. John Henry",22,"Holsworthy, Devon",England,Southampton,"Saskatoon, Saskatchewan, Canada",,False,ThirdClass,50.8123783,-4.3526341,0.0,United Kingdom
520,"Persson, Mr. Ernst Ulrik",25,"Stockholm, Uppland",Sweden,Southampton,"Indianapolis, Indiana, US",15,True,ThirdClass,59.3247259,18.0699988,0.0,Sverige
521,"Peters, Miss Catherine ""Katie""",26,"Cahir, Tipperary",Ireland,Queenstown,New York City,,False,ThirdClass,52.3749129,-7.9251412,0.0,Éire / Ireland
522,"Petranec, Miss Matilda",28,Vagovina,Croatia,Southampton,"Harrisburg, Pennsylvania, US",,False,ThirdClass,45.7827498,16.6679888,0.0,Hrvatska
524,"Petroff, Mr. Pastcho",29,"Belish, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,42.9344278,24.7328867,0.0,Бългaрия
525,"Pettersson, Miss Ellen Natalia",18,"Stockholm, Uppland",Sweden,Southampton,"Iron Mountain, Michigan, US",,False,ThirdClass,59.3247259,18.0699988,0.0,Sverige
526,"Pettersson, Mr. Johan Emil",25,"Västermo, Södermanland",Sweden,Southampton,"Chicago, Illinois, US",,False,ThirdClass,59.2900341,16.0794111,0.0,Sverige
527,"Pickard, Mr. Berk (Trembisky)",32,Warsaw,Poland,Southampton,"San Francisco, US",9,True,ThirdClass,52.2319581,21.0067249,0.0,Polska
528,"Plotcharsky, Mr. Vasil",27,Unknown,Bulgaria,Southampton,"Tulsa, Oklahoma, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
529,"Pocrnić, Mr. Mate",17,Bukovac,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,42.360476,21.64837,0.0,Србија
530,"Pocrnić, Mr. Tome",24,Bukovac,Croatia,Southampton,"Chicago, Illinois, US",,False,ThirdClass,42.360476,21.64837,0.0,Србија
531,"Pullner, Mr. Uscher",16,Unknown,Unknown,Cherbourg,New York City,,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
532,"Radeff, Mr. Alexander",27,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,False,ThirdClass,25.029422,-77.36195598496681,0.0,The Bahamas
533,"Rasmussen, Mrs. Lena Jakobsen (née Solvang)",62,"Haugesund, Hordaland",Norway,Southampton,"Centerville, South Dakota, US",,False,ThirdClass,59.4187381,5.2727902,0.0,Norge
