Name,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Body
"Goodwin, Master Sidney Leslie",1,Fulham,England,Southampton,"Niagara Falls, New York, US",,4MB[87]
"Green, Mr. George Henry",40,"Dorking, Surrey",England,Southampton,"Lead, South Dakota, US",,
"Grønnestad, Mr. Daniel Danielsen",32,Bokn,Norway,Southampton,"Portland, North Dakota, US",,
"Guest, Mr. Robert",32,London,England,Southampton,"Clinton, New York, US",,
"Gustafsson, Mr. Alfred Ossian",19,Kokkola,Finland,Southampton,"Waukegan, Illinois, US",,
"Gustafsson, Mr. Anders Vilhelm",37,Ruotsinpyhtää,Finland,Southampton,New York City,,98MB
"Gustafsson, Mr. Johan Birger",28,Ruotsinpyhtää,Finland,Southampton,New York City,,
"Gustafsson, Mr. Karl Gideon",19,"Myren, Synnerby, Västergötland",Sweden,Southampton,"Aberdeen, South Dakota, US",,
"Haas, Miss Aloisia",24,"Altdorf, Uri",Switzerland,Southampton,"Chicago, Illinois, US",,
"Hagland, Mr. Ingvald Olai Olsen",28,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,
"Hagland, Mr. Konrad Mathias Reiersen",19,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,
"Hakkarainen, Mr Pekka Pietari",28,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",,
"Hakkarainen, Mrs. Elin Matilda (née Dolck)",24,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",15,
"Hampe, Mr. Léon Jérome",19,Westrozebeke,Belgium,Southampton,"Detroit, Michigan, US",,
"Hanna, Mr. Borak Suleiman",27,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",15,
"Hanna, Mr. Bulus",18,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,
"Hanna, Mr. Mansur",35,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,188MB
"Hansen, Mr. Claus Peter",41,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",,
"Hansen, Mrs. Jennie Louise (née Howard)",45,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",11,
"Hansen, Mr. Henrik Juul",26,"Holeby, Storstrøm",Denmark,Southampton,"Racine, Wisconsin, US",,
"Hansen, Mr. Henry Damsgaard",21,Copenhagen,Denmark,Southampton,"Racine, Wisconsin, US",,69MB
"Hargadon, Miss Catherine ""Kate""",17,"Ballysadare, Sligo",Ireland,Queenstown,New York City,,
"Harknett, Miss Alice Phoebe",21,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,
"Hart, Mr. Henry John",27,"Ballysadare, Sligo",Ireland,Queenstown,"Boston, Massachusetts, US",,
"Healy, Miss Hanora (Nora)",29,"Athenry, Galway",Ireland,Queenstown,New York City,16,
"Hedman, Mr. Oskar Arvid",27,"St. Paul, Minnesota",US,Southampton,"St. Paul, Minnesota, US",15,
"Hegarty, Miss Hanora ""Nora""",18,"Whitechurch, Cork",Ireland,Queenstown,"Charlestown, US",,
"Heikkinen, Miss Laina",26,Jyväskylä,Finland,Southampton,New York City,14?,
"Heininen, Miss Wendla Maria",23,Turku,Finland,Southampton,New York City,,8MB
"Hellström, Miss Hilda Maria",22,Stora Tuna,Sweden,Southampton,"Evanston, Illinois, US",C,
"Hendeković, Mr. Ignjac",28,Vagovina,Croatia,Southampton,"Harrisburg, Pennsylvania, US",,306MB
"Henriksson, Miss Jenny Lovisa",28,Stockholm,Sweden,Southampton,"Iron Mountain, Michigan, US",,3MB
"Henry, Miss Bridget Delia",23,"Clonown, Roscommon",Ireland,Queenstown,"Boston, Massachusetts, US",,
"Hirvonen, Mrs. Helga Elisabeth (née Lindqvist)",22,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,
"Hirvonen, Miss Hildur Elisabeth",2,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,
"Holm, Mr. Johan Fredrik Alexander",43,"Karlshamn, Blekinge",Sweden,Southampton,New York City,,
"Holten, Mr. Johan Martin",28,Bergen,Norway,Southampton,New York City,,
"Honkanen, Miss Eliina",27,Saarijärvi,Finland,Southampton,New York City,?,
"Horgan, Mr. John",22,Unknown,Ireland,Queenstown,New York City,,
"Howard, Miss May Elizabeth",27,"North Walsham, Norfolk",England,Southampton,"Albion, Michigan, US",C,
"Humblen, Mr. Adolf Mathias Nicolai Olsen",42,"Borgund, Møre og Romsdal",Norway,Southampton,"Milwaukee, Wisconsin, US",,
"Husayn, Master Husayn Mahumud",11,"Fredericksburg, Virginia",US,Cherbourg,"Fredericksburg, Virginia, US",,
"Hyman, Mr. Solomon Abraham",34,Manchester,England,Southampton,"Springfield, Massachusetts, US",C,
"Ilmakangas, Miss Ida Livija",27,"New York City, New York",US,Southampton,New York City,,
"Ilmakangas, Miss Pieta Sofia",25,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,
"Ivanoff, Mr. Kanio",20,"Malka Ribnya, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Jabbour, Miss Hileni",16,Unknown,Syria,Cherbourg,New York City,,328MM
"Jabbour, Miss Tamini",19,Unknown,Syria,Cherbourg,New York City,,
"Jalševac, Mr. Ivan",29,Topolovac,Croatia,Cherbourg,"Galesburg, Illinois, US",15,
"Jansson, Mr. Carl Olof",21,Örebro,Sweden,Southampton,"Swedeburg, Nebraska, US",A,
"Jardim, Mr. José Neto",21,"Calheta, Madeira",Portugal,Southampton,New York City,,
"Jensen, Mr. Hans Peder",20,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",,
"Jensen, Mr. Niels Peder ""Rasmus""",48,"Portland, Oregon",US,Southampton,"Portland, Oregon, US",,
"Jensen, Mr. Svend Lauritz",17,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",,
"Jermyn, Miss Annie Jane",26,"Ballydehob, Cork",Ireland,Queenstown,"East Lynn, Massachusetts, US",D,
"Jirjis, Mrs. Shaniini (née Whabee Abi-Saab)",22,"Youngstown, Ohio",US,Cherbourg,"Youngstown, Ohio, US",C,
"Johannesen, Mr. Bernt Johannes",29,"Avaldsnes, Stavanger",Norway,Southampton,New York City,13,
"Johanson, Mr. Jakob Alfred",34,Munsala,Finland,Southampton,"Vancouver, British Columbia, Canada",,143MB
"Johansson, Mr. Erik",22,"Frostensmåla, Småland",Sweden,Southampton,"St. Paul, Minnesota, US",,156MB
"Johansson, Mr. Gustaf Joel",33,"Bäckebo, Småland",Sweden,Southampton,"Cheyenne, North Dakota, US",,285MB
"Johansson, Mr. Karl Johan",31,"Duluth, Minnesota",US,Southampton,"Duluth, Minnesota, US",,
"Johansson, Mr. Nils",29,"Chicago, Illinois",US,Southampton,"Chicago, Illinois, US",,
"Johansson Palmquist, Mr. Oskar Leander",26,"Kvarnaryd, Småland",Sweden,Southampton,"New Haven, Connecticut, US",15,
"Johnson, Mr. Alfred",49,Millwood,England,Southampton,New York City,,
"Johnson, Mrs. Elisabeth Vilhelmina (née Berg)",26,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,
"Johnson, Master Harold Theodor",4,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,
"Johnson, Miss Eleanor Ileen",1,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,
"Johnson, Mr. Malkolm Joackim",33,"Minneapolis, Minnesota",US,Southampton,"Minneapolis, Minnesota, US",,37MB
"Johnson, Mr. William Cahoone Jr.",19,"Hawthorne, New Jersey",US,Southampton,New York City,,
"Johnston, Mr. Andrew Emslie",35,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,
"Johnston, Mrs. Elizabeth (née Watson) ""Eliza""",34,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,
"Johnston, Master William Andrew",8,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,
"Johnston, Miss Catherine Nellie",7,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,
"Jonkoff, Mr. Lalju",23,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Jonsson, Mr. Carl",32,"Kalfsnäs, Småland",Sweden,Southampton,"Huntley, Illinois, US",15,
"Jönsson, Mr. Nils Hilding",27,"Tågarp, Skåne",Sweden,Southampton,New York City,,
"Jussila, Mr. Eiriik",32,Elimäki,Finland,Southampton,"Monessen, Pennsylvania, US",15,
"Jussila, Miss Katriina",20,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,
"Jussila, Miss Mari Aina",21,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,
"Kallio, Mr. Nikolai Erlantti",17,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,
"Kalvik, Mr. Johannes Halvorsen",21,"Etnesjøen, Hordaland",Norway,Southampton,"Story City, Iowa, US",,
"Karajić, Mr. Milan",30,Vagovina,Croatia,Southampton,"Youngstown, Ohio, US",,
"Karlsson, Mr. Einar Gervasius",21,"Oskarshamn, Kalmar",Sweden,Southampton,"Brooklyn, New York, US",13,
"Karlsson, Mr. Julius Konrad Eugen",33,"Göteborg, Västergötland",Sweden,Southampton,New York City,,
"Karlsson, Mr. Nils August",22,Örebro,Sweden,Southampton,"Palmer, Massachusetts, US",,
"Karun, Mr. Franz",39,Milje,Slovenia,Southampton,"Galesburg, Illinois, US",15,
"Karun, Miss Manca (""Anna"")",4,Milje,Slovenia,Southampton,"Galesburg, Illinois, US",15,
"Katavelos, Mr. Vassilios G.",19,Agios Sostis,Greece,Cherbourg,"Milwaukee, Wisconsin, US",,58MB
"Keane, Mr. Andrew ""Andy""",23,"Athenry, Galway",Ireland,Queenstown,"Auburndale, Florida, US",,
"Keefe, Mr. Arthur",39,"Rahway, New Jersey",US,Southampton,"Rahway, New Jersey, US",A,332O
"Kelly, Mr. James",19,Unknown,Ireland,Southampton,New York City,,70MB
"Kelly, Mr. James",44,"Leixlip, Kildare",Ireland,Queenstown,"New Haven, Connecticut, US",,
"Kelly, Miss Anna Katherine",20,"Cuilmullagh, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",16,
"Kelly, Miss Mary",22,"Castlepollard, Westmeath",Ireland,Queenstown,New York City,D,
"Kennedy, Mr. John Joseph",24,"Watergate, Limerick",Ireland,Queenstown,New York City,15?,
"Khalil-Khoury, Mr. Butrus",25,Hardîne,Lebanon,Cherbourg,"Wilkes Barre, Pennsylvania, US",,
"Khalil-Khoury, Mrs. Zahie ""Maria""",20,Hardîne,Lebanon,Cherbourg,"Wilkes Barre, Pennsylvania, US",,
"Kiernan, Mr. John Joseph",24,"Jersey City, New Jersey",US,Queenstown,"Jersey City, New Jersey, US",,
"Kiernan, Mr. Philip",22,"Aughnacliffe, Longford",Ireland,Queenstown,"Jersey City, New Jersey, US",,
"Kilgannon, Mr. Thomas",22,"Currafarry, Galway",Ireland,Queenstown,New York City,,
"Kink, Mr. Anton",29,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,
"Kink, Mrs. Luise (née Heilmann)",26,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,
"Kink, Miss Luise Gretchen",4,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,
"Kink, Miss Maria",22,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin, US",,
"Kink, Mr. Vincenz",26,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin, US",,
"Klasén, Mrs. Hulda Kristina Eugenia (née Lofqvist)",36,"Salmunds, Gotland",Sweden,Southampton,"Los Angeles, US",,
"Klasén, Mr. Klas Albin",18,"Grimshut, Småland",Sweden,Southampton,New York City,,
"Klasén, Miss Gertrud Emilia",1,"Grimshut, Småland",Sweden,Southampton,New York City,,
"Kraeff, Mr. Theodor",–,Vetren,Bulgaria,Cherbourg,"Madison, Wisconsin, US",,
"Krekorian, Mr. Neshan",25,Kiğı,Turkey,Cherbourg,"Brantford, Ontario, Canada",10,
"Kutscher, Mr. Simon",26,Edinburgh,Scotland,Southampton,New York City,,
"Lahoud Ishaq Mowad, Mr. Sarkis",30,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",,
"Laitinen, Miss Kristiina Sofia",37,Helsinki,Finland,Southampton,New York City,,
"Laleff, Mr. Kristo",23,"Knezhni Lak, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Lam, Mr. Ali",37,Hong Kong,China,Southampton,New York City,C,
"Lam, Mr. Len",23,Hong Kong,China,Southampton,New York City,,
"Landergren, Miss Aurora Adelia",22,"Karlshamn, Blekinge",Sweden,Southampton,New York City,13,
"Lane, Mr. Patrick",16,"Limerick, Limerick",Ireland,Queenstown,New York City,,
"Lang, Mr. Fang",26,Hong Kong,China,Southampton,New York City,14,
"Larsson, Mr. August Viktor",29,"Stamford, Connecticut",US,Southampton,"Stamford, Connecticut, US",,
"Larsson, Mr. Bengt Edvin",29,"Nyköping, Södermanland",Sweden,Southampton,"Hartford, Connecticut, US",,
"Larsson-Rondberg, Mr. Edvard A.",22,"Lysvik, Värmland",Sweden,Southampton,"Missoula, Montana, US",,
"Lee, Mr. Bing",32,Hong Kong,China,Southampton,New York City,C,
"Lee, Mr. Ling",28,Hong Kong,China,Southampton,New York City,,
"Lefebvre, Mrs. Frances Marie-Anselme (née Daumont)",40,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,
"Lefebvre, Miss Mathilde Franck-Marie-Joseph",12,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,
"Lefebvre, Miss Jeannie Franck-Marie-Joseph",8,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,
"Lefebvre, Master Henri Franck-Marie-Joseph",5,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,
"Lefebvre, Miss Ida Franck-Marie-Joseph",3,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,
"Leinonen, Mr. Antti Gustaf",32,Välitaipale,Finland,Southampton,New York City,,
"Lennon, Mr. Denis",20,"Ballymahon, Longford",Ireland,Queenstown,New York City,,
"Lennon, Miss Mary",18,"Ballymahon, Longford",Ireland,Queenstown,New York City,,
"Leonard, Mr. Lionel",36,"New York City, New York",US,Southampton,New York City,,
"Lester, Mr. James",39,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,
"Lievens, Mr. René Gustave Aimé",24,Haaltert,Belgium,Southampton,"Detroit, Michigan, US",,
"Lindahl, Miss Agda Thorilda Viktoria",25,Stockholm,Sweden,Southampton,"Saranac Lake, New York, US",,
"Lindblom, Miss Augusta Charlotta",45,Stockholm,Sweden,Southampton,"Stratford, Connecticut, US",,
"Lindell, Mr. Edvard Bengtsson",36,"Helsingborg, Skåne",Sweden,Southampton,"Hartford, Connecticut, US",A,
"Lindell, Mrs. Elin Gerda (née Persson)",30,"Helsingborg, Skåne",Sweden,Southampton,"Hartford, Connecticut, US",A,
"Lindqvist, Mr. Eino William",20,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,
"Linehan, Mr. Michael",21,"Boherbue, Cork",Ireland,Queenstown,New York City,,
"Ling, Mr. Lee",24,Hong Kong,China,Southampton,New York City,,
"Linhart, Mr. Wenzel H.",27,Vienna,Austria,Southampton,New York City,,298MB
"Livshin, Mr. David (""Abraham Harmer"")",25,Manchester,England,Southampton,"Montreal, Quebec, Canada",,
"Lobb, Mr. William Arthur",30,"Scranton, Pennsylvania",US,Southampton,"Scranton, Pennsylvania, US",,
"Lobb, Mrs. Cordelia K. (née Stanlick)",26,"Scranton, Pennsylvania",US,Southampton,"Scranton, Pennsylvania, US",,55MB
"Lockyer, Mr. Edward Thomas",21,"Sandhurst, Kent",England,Southampton,"Ontario, New York, US",,153MB
"Lovell, Mr. John Hall (""Henry"")",20,"Northlew, Devon",England,Southampton,New York City,,
"Lulić, Mr. Nikola",29,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",15,
"Lundahl, Mr. Johan Svensson",51,"Fyrnan, Småland",Sweden,Southampton,"Spokane, Washington, US",,
"Lundström, Mr. Thure Edvin",32,"Simrishamn, Skåne",Sweden,Southampton,"Los Angeles, US",15,
"Lymperopoulus, Mr. Panagiotis K.",30,Áyios Sóstis,Greece,Cherbourg,"Stamford, Connecticut US",,196MB
"Lyntakoff, Mr. Stanko",44,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,
"Mackay, Mr. George William",20,London,England,Southampton,"Rochester, New York, US",,
"Madigan, Miss Margaret ""Maggie""",21,"Askeaton, Limerick",Ireland,Queenstown,New York City,15,
"Madsen, Mr. Fridtjof Arne",24,Trondheim,Norway,Southampton,"Brooklyn, New York, US",13,
"Mäenpää, Mr. Matti Alexanteri",22,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,
"Mahon, Miss Bridget Delia",20,"Derrymartin, Mayo",Ireland,Queenstown,New York City,,
"Maisner, Mr. Simon",34,London,England,Southampton,New York City,,
"Mäkinen, Mr. Kalle Edvard",29,"Ikaalinen, Pirkanmaa",Finland,Southampton,"Glassport, Pennsylvania, US",,
"Mamee, Mr. Hanna",20,Tripoli,Lebanon,Cherbourg,"Philadelphia, Pennsylvania, US",15,
"Mangan, Miss Mary",32,"Carrowkehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,61MB
"Mannion, Miss Margaret",28,"Caltra, Galway",Ireland,Queenstown,New York City,16,
"Mardirosian, Mr. Sarkis",25,Kiğı,Turkey,Cherbourg,"Brantford, Ontario, Canada",,
"Marinko, Mr. Dmitri",23,Unknown,Macedonia,Southampton,New York City,,
"Markoff, Mr. Marin",35,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Markun, Mr. Johann",33,Milje,Slovenia,Cherbourg,New York City,,
"Matinoff, Mr. Nicola",30,Gabrovo,Bulgaria,Cherbourg,"Madison, Wisconsin, US",,
"McCarthy, Miss Catherine ""Katie""",24,Tipperary,Ireland,Queenstown,"Bayonne, New Jersey, US",?,
"McCormack, Mr. Thomas Joseph",19,"Bayonne, New Jersey",US,Queenstown,"Guttenberg, New Jersey, US",15,
"McCoy, Miss Catherine Agnes",29,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,
"McCoy, Miss Alice",26,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,
"McCoy, Mr. Bernard",24,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,
"McDermott, Miss Bridget Delia",31,"Lahardane, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",13,
"McEvoy, Mr. Michael",19,Dublin,Ireland,Queenstown,New York City,,
"McGovern, Miss Mary",22,"Corlough, Cavan",Ireland,Queenstown,New York City,13,
"McGowan, Miss Anna F. ""Annie""",14,"Massbrook, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",13,
"McGowan, Miss Catherine",42,"Terry, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,
"McMahon, Mr. Martin",20,"Craghbrien, Clare",Ireland,Queenstown,New York City,,
"McNamee, Mr. Neal",27,"Convoy, Donegal, Ireland",England,Southampton,"Philadelphia, Pennsylvania, US",,
"McNamee, Mrs. Eileen (née O'Leary)",19,"Salisbury, Wiltshire",England,Southampton,"Philadelphia, Pennsylvania, US",,53MB
"McNeill, Miss Bridget",27,"Trien, Roscommon",Ireland,Queenstown,New York City,,
"Meanwell, Mrs. Mary Ann",63,"Eastbourne, East Sussex",England,Southampton,New York City,,
"Meehan, Mr. John",22,"Currowhunane, Sligo",Ireland,Queenstown,"Patterson, New Jersey, US",,
"Meek, Mrs. Anna ""Annie"" Louise Rowley",31,"Penarth, Glamorgan",Wales,Southampton,New York City,,
"Miesnere, Mr. Simon",34,"London, England",England,Southampton,New York City,,
"Meo-Martino, Mr. Alfonzo",48,"Bournemouth, Dorset",England,Southampton,"Washington, DC, US",,201MB
"Mernagh, Mr. John Robert",26,"Ballywilliam, Wexford",Ireland,Queenstown,"Chicago, Illinois, US",,
"Midtsjø, Mr. Karl Albert",21,"Kråkstad, Ski",Norway,Southampton,"Chicago, Illinois, US",15,
"Mihoff, Mr. Stoytcho",28,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Miles, Mr. Frank",23,"Greenwich, London",England,Southampton,New York City,,
"Mineff, Mr. Ivan",24,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,
"Minkoff, Mr. Lazar",21,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Mitkoff, Mr. Mito",23,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,
"Mockler, Miss Ellen Mary",23,"Currafarry, Galway",Ireland,Queenstown,New York City,16,
"Moen, Mr. Sigurd Hansen",25,Bergen,Norway,Southampton,"Minneapolis, Minnesota, US",,309M
"Moor, Mrs. Beila",29,Unknown,Russia,Southampton,"Chicago, Illinois, US",14,
"Moor, Master Meier",7,Unknown,Russia,Southampton,"Chicago, Illinois, US",14,
"Moore, Mr. Leonard Charles",19,"Kingston upon Thames, London",England,Southampton,"Hoboken, New Jersey, US",,
"Moran, Miss Bertha Bridget",28,"Askeaton, Limerick",Ireland,Queenstown,"Brooklyn, New York, US",16,
"Moran, Mr. Daniel James",27,"Askeaton, Limerick",Ireland,Queenstown,"Brooklyn, New York, US",,
"Morley, Mr. William",34,"Petworth, West Sussex",England,Southampton,New York City,,
"Morrow, Mr. Thomas Rowan",30,"Rathfriland, Down",Ireland,Queenstown,"Gleichen, Alberta, Canada",,
"Moss, Mr. Albert Johan",29,Bergen,Norway,Southampton,New York City,B,
"Moussa, Mrs. Mantoura",35,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",?,
"Moutal, Mr. Rahamin Haim",28,London,England,Southampton,New York City,,
"Mubarik, Mrs. Amanah Fa'ud (née Iskandar)",24,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,
"Mubarik, Master Gerios",7,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,
"Mubarik, Master Halim Gonios",4,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,
"Mullen, Miss Katherine ""Katie""",19,"Esker, Longford",Ireland,Queenstown,New York City,16,
"Mulvihill, Miss Bridget Elizabeth ""Bertha""",25,"Athlone, Westmeath",Ireland,Queenstown,"Providence, Rhode Island, US",15,
"Murdlin, Mr. Joseph",22,London,England,Southampton,New York City,,
"Murphy, Miss Catherine ""Kate""",18,"Aghnacliffe, Longford",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",16,
"Murphy, Miss Margaret Jane ""Maggie/Mary""",25,"Fostragh, Longford",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",16,
"Murphy, Miss Nora",34,Dublin,Ireland,Queenstown,New York City,16,
"Muslamani, Mrs. Fatimah",22,Tebnine,Lebanon,Cherbourg,"Michigan City, Indiana, US",C,
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",18,"Kristinehamn, Värmland",Sweden,Southampton,"Chicago, Illinois, US",,
"Nackid, Mr. Sahid",20,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,
"Nackid, Miss Waika ""Mary"" (née Mowad)",19,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,
"Nackid, Miss Maria",1,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,
"Naidenoff, Mr. Penko",22,"Gumostnik, Lovech",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Nakli-Khoury, Mr. Toufik",17,Hardîne,Lebanon,Cherbourg,New York City,,
"Nancarrow, Mr. William Henry",33,"St Austell, Cornwall",England,Southampton,"Yonkers, New York, US",,
"Nankoff, Mr. Minko",32,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,
"Nasr Alma, Mr. Mustafa",20,Tebnine,Lebanon,Cherbourg,New York City,,
"Nassr Rizq, Mr. Saade",20,Sir'Al,Lebanon,Cherbourg,New York City,,
"Naughton, Miss Hannah",21,Donoughmore,Ireland,Queenstown,New York City,,
"Nenkoff, Mr. Christo",22,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,
"Nieminen, Miss Manta Josefiina",29,Karinainen,Finland,Southampton,"Aberdeen, Washington, US",,
"Niklasson, Mr. Samuel",28,"Västra Bogane, Orust Island",Sweden,Southampton,New York City,,
"Nilsson, Mr. August Ferdinand",21,"Hörby, Skåne",Sweden,Southampton,"St. Paul, Minnesota, US",,
"Nilsson, Miss Berta Olivia",18,"Lysvik, Värmland",Sweden,Southampton,"Missoula, Montana, US",D,
"Nilsson, Miss Helmina Josefina",26,"Ramkvilla, Småland",Sweden,Southampton,"Joliet, Illinois, US",13,
"Niqula-Yarid, Miss Jamilah",14,El-Hakour,Lebanon,Cherbourg,"Jacksonville, Florida, US",C,
"Niqula-Yarid, Master Ilyas",12,El-Hakour,Lebanon,Cherbourg,"Jacksonville, Florida, US",C,
"Nirva, Mr. Iisakki Antino Äijö",41,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,
"Niskanen, Mr. Juha",39,Kivijärvi,Finland,Southampton,"Boston, Massachusetts, US",9,
"Nofal, Mr. Mansur",20,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,181MB
"Nosworthy, Mr. Richard Cater",21,"Newton Abbot, Devon",England,Southampton,"Buffalo, New York, US",,
